"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_23:17:48.csv 60",,,,"Date:","11 Jun 2019 23:17:49 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 23:17:49,273829888.0,2138112.0,2911072256.0,786587648.0,1.196,0.014,98.782,0.007,0.0,0.001,0.0,0.0,281.521,2173.870
11-06 23:18:50,788242432.0,2138112.0,2978979840.0,204267520.0,81.212,1.017,16.986,0.700,0.0,0.083,26.0,0.0,694954.667,447394.133
11-06 23:19:50,790728704.0,2138112.0,2978979840.0,201781248.0,89.710,0.484,9.665,0.008,0.0,0.133,32.400,7.800,0.0,409.600
11-06 23:20:50,796520448.0,2138112.0,2978979840.0,195989504.0,89.803,0.426,9.655,0.0,0.0,0.117,26.0,0.0,0.0,1211.733
11-06 23:21:50,796585984.0,2138112.0,2978979840.0,195923968.0,89.746,0.484,9.644,0.0,0.0,0.125,28.200,2.200,0.0,102.400
11-06 23:22:50,796585984.0,2138112.0,2978979840.0,195923968.0,89.696,0.467,9.670,0.0,0.0,0.167,27.400,0.0,0.0,102.400
11-06 23:23:50,800333824.0,2138112.0,2978983936.0,192172032.0,89.733,0.459,9.649,0.008,0.0,0.150,26.0,0.0,0.0,281.600
11-06 23:24:50,825253888.0,2138112.0,3005104128.0,141131776.0,75.603,0.434,23.846,0.0,0.0,0.117,28.200,2.200,0.0,1211.733
11-06 23:25:50,828211200.0,2138112.0,3005104128.0,138174464.0,89.786,0.451,9.622,0.0,0.0,0.142,26.0,0.0,0.0,443562.667
11-06 23:26:50,828153856.0,2138112.0,3005104128.0,138231808.0,89.771,0.442,9.620,0.0,0.0,0.167,26.0,0.0,0.0,520.533
11-06 23:27:50,830300160.0,2138112.0,3005104128.0,136085504.0,89.772,0.450,9.635,0.008,0.0,0.133,27.400,0.0,0.0,102.400
11-06 23:28:50,830189568.0,2138112.0,3005104128.0,136196096.0,89.802,0.417,9.622,0.0,0.0,0.159,26.0,0.0,0.0,119.467
11-06 23:29:50,830189568.0,2138112.0,3005104128.0,136196096.0,89.721,0.434,9.670,0.0,0.0,0.175,26.0,0.0,0.0,520.533
11-06 23:30:50,830316544.0,2138112.0,3005108224.0,136065024.0,89.794,0.426,9.630,0.0,0.0,0.150,26.0,0.0,0.0,332.800
11-06 23:31:50,853159936.0,2138112.0,2963853312.0,154476544.0,64.871,0.300,34.737,0.008,0.0,0.083,26.0,0.0,0.0,430685.867
11-06 23:32:50,853766144.0,2138112.0,2963853312.0,153870336.0,89.746,0.451,9.661,0.0,0.0,0.142,26.0,0.0,0.0,441267.200
11-06 23:33:50,853643264.0,2138112.0,2963853312.0,153993216.0,89.757,0.442,9.642,0.0,0.0,0.159,26.0,0.0,0.0,102.400
11-06 23:34:50,853774336.0,2138112.0,2963853312.0,153862144.0,89.710,0.459,9.680,0.008,0.0,0.142,29.700,3.700,0.0,102.400
11-06 23:35:50,853647360.0,2138112.0,2963853312.0,153989120.0,89.738,0.443,9.661,0.0,0.0,0.159,27.400,0.0,0.0,537.600
11-06 23:36:50,853647360.0,2138112.0,2963853312.0,153989120.0,89.737,0.417,9.670,0.0,0.0,0.175,26.0,0.0,0.0,102.400
11-06 23:37:50,853590016.0,2138112.0,2963853312.0,154046464.0,89.708,0.492,9.633,0.0,0.0,0.167,26.0,0.0,0.0,256.0
11-06 23:38:49,853815296.0,2138112.0,2989625344.0,128049152.0,56.454,0.092,43.413,0.0,0.0,0.042,27.500,0.700,0.0,430387.200
11-06 23:39:50,865632256.0,2138112.0,2970927104.0,134930432.0,86.614,0.542,12.702,0.008,0.0,0.133,28.100,1.500,0.0,440430.933
11-06 23:40:50,866381824.0,2138112.0,2972360704.0,132747264.0,86.869,0.536,12.545,0.008,0.0,0.042,32.400,7.800,23893.333,1706.667
11-06 23:41:50,868732928.0,2138112.0,2972360704.0,130396160.0,88.962,0.477,10.528,0.0,0.0,0.033,28.200,2.200,0.0,2338.133
11-06 23:42:50,869117952.0,2138112.0,2972360704.0,130011136.0,89.581,0.451,9.850,0.008,0.0,0.109,26.0,0.0,0.0,102.400
11-06 23:43:50,868974592.0,2138112.0,2972360704.0,130154496.0,89.710,0.476,9.664,0.0,0.0,0.150,26.0,0.0,0.0,537.600
11-06 23:44:50,869179392.0,2138112.0,2972364800.0,129945600.0,89.739,0.442,9.652,0.008,0.0,0.159,26.0,0.0,0.0,110.933
