"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_17:57:08.csv 60",,,,"Date:","11 Jun 2019 17:57:08 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 17:57:08,257105920.0,2138112.0,2414735360.0,1299648512.0,0.659,0.010,99.324,0.007,0.0,0.001,0.0,0.0,273.155,1549.879
11-06 17:58:08,766320640.0,2138112.0,2441297920.0,763871232.0,80.735,1.367,17.839,0.008,0.0,0.050,27.400,0.0,0.0,445738.667
11-06 17:59:08,767426560.0,2138112.0,2441297920.0,762765312.0,86.852,0.936,12.203,0.0,0.0,0.008,27.400,0.0,0.0,1629.867
11-06 18:00:08,769912832.0,2138112.0,2441297920.0,760279040.0,87.452,0.928,11.612,0.0,0.0,0.008,26.0,0.0,0.0,102.400
11-06 18:01:08,774045696.0,2138112.0,2441302016.0,756142080.0,87.405,0.979,11.583,0.0,0.0,0.033,32.400,7.800,0.0,324.267
11-06 18:02:08,774045696.0,2138112.0,2441302016.0,756142080.0,87.573,0.870,11.532,0.008,0.0,0.017,26.0,0.0,0.0,2423.467
11-06 18:03:08,774045696.0,2138112.0,2441302016.0,756142080.0,87.479,0.920,11.576,0.008,0.0,0.017,26.0,0.0,0.0,1774.933
11-06 18:04:08,781111296.0,2138112.0,2467074048.0,723304448.0,82.451,0.761,16.763,0.0,0.0,0.025,26.0,0.0,0.0,332.800
11-06 18:05:08,801562624.0,2138112.0,2467422208.0,702504960.0,74.378,0.676,24.912,0.0,0.0,0.033,26.0,0.0,0.0,441890.133
11-06 18:06:08,802709504.0,2138112.0,2467422208.0,701358080.0,87.598,0.887,11.490,0.008,0.0,0.017,26.0,0.0,0.0,3319.467
11-06 18:07:08,804954112.0,2138112.0,2467422208.0,699113472.0,87.641,0.821,11.530,0.0,0.0,0.008,30.400,4.400,0.0,358.400
11-06 18:08:08,806936576.0,2138112.0,2467426304.0,697126912.0,87.707,0.787,11.498,0.0,0.0,0.008,26.0,0.0,0.0,597.333
11-06 18:09:08,806993920.0,2138112.0,2467426304.0,697069568.0,87.712,0.778,11.484,0.008,0.0,0.017,26.0,0.0,0.0,904.533
11-06 18:10:08,807067648.0,2138112.0,2467426304.0,696995840.0,87.723,0.762,11.515,0.0,0.0,0.0,26.0,0.0,0.0,793.600
11-06 18:11:08,807325696.0,2138112.0,2493198336.0,670965760.0,87.286,0.820,11.894,0.0,0.0,0.0,27.400,0.0,0.0,776.533
11-06 18:12:08,819150848.0,2138112.0,2493448192.0,658890752.0,54.369,0.175,45.439,0.0,0.0,0.017,28.200,2.200,0.0,431061.333
11-06 18:13:08,819183616.0,2138112.0,2493448192.0,658857984.0,87.705,0.769,11.517,0.0,0.0,0.008,26.0,0.0,0.0,440806.400
11-06 18:14:08,821153792.0,2138112.0,2493448192.0,656887808.0,87.568,0.845,11.554,0.008,0.0,0.025,28.200,2.200,0.0,1484.800
11-06 18:15:08,821157888.0,2138112.0,2493448192.0,656883712.0,87.590,0.862,11.523,0.0,0.0,0.025,27.400,0.0,0.0,110.933
11-06 18:16:08,821157888.0,2138112.0,2493448192.0,656883712.0,87.636,0.853,11.477,0.008,0.0,0.025,26.0,0.0,0.0,793.600
11-06 18:17:08,821030912.0,2138112.0,2493448192.0,657010688.0,87.525,0.921,11.546,0.0,0.0,0.008,26.0,0.0,0.0,537.600
11-06 18:18:08,822116352.0,2138112.0,2493448192.0,655925248.0,87.575,0.870,11.529,0.008,0.0,0.017,26.0,0.0,0.0,110.933
11-06 18:19:08,822247424.0,2138112.0,2519220224.0,630022144.0,69.543,0.493,29.947,0.0,0.0,0.017,26.0,0.0,0.0,430071.467
11-06 18:20:08,831479808.0,2138112.0,2519474176.0,620535808.0,56.594,0.275,43.106,0.0,0.0,0.025,26.0,0.0,0.0,1032.533
11-06 18:21:08,833576960.0,2138112.0,2519474176.0,618438656.0,87.609,0.845,11.504,0.008,0.0,0.033,26.0,0.0,0.0,440669.867
11-06 18:22:08,836120576.0,2138112.0,2519474176.0,615895040.0,87.521,0.937,11.533,0.0,0.0,0.008,28.800,0.0,0.0,793.600
11-06 18:23:08,836292608.0,2138112.0,2519478272.0,615718912.0,87.612,0.812,11.559,0.0,0.0,0.017,26.0,0.0,0.0,110.933
11-06 18:24:08,836308992.0,2138112.0,2519478272.0,615702528.0,87.537,0.853,11.577,0.008,0.0,0.025,33.900,9.300,0.0,648.533
11-06 18:25:08,836247552.0,2138112.0,2519478272.0,615763968.0,87.608,0.821,11.547,0.0,0.0,0.025,28.200,2.200,0.0,2517.333
11-06 18:26:08,836374528.0,2138112.0,2519478272.0,615636992.0,87.517,0.887,11.571,0.0,0.0,0.025,26.0,0.0,0.0,384.0
11-06 18:27:08,836509696.0,2138112.0,2545250304.0,589729792.0,67.382,0.409,32.193,0.008,0.0,0.008,26.0,0.0,0.0,430097.067
11-06 18:28:08,838475776.0,2138112.0,2545254400.0,587759616.0,50.013,0.0,49.979,0.0,0.0,0.008,26.0,0.0,0.0,1510.400
