"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-14_14:11:49.csv 60",,,,"Date:","14 Jun 2019 14:11:50 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
14-06 14:11:50,404480000.0,2138112.0,2814443520.0,752566272.0,2.636,0.027,97.326,0.008,0.0,0.002,0.0,0.0,421.337,5124.399
14-06 14:12:50,927481856.0,2138112.0,2841006080.0,203001856.0,84.620,0.834,14.455,0.0,0.0,0.092,32.400,7.800,0.0,445380.267
14-06 14:13:50,927608832.0,2138112.0,2841006080.0,202874880.0,91.685,0.317,7.923,0.0,0.0,0.075,28.200,2.200,273.067,3566.933
14-06 14:14:50,927608832.0,2138112.0,2841006080.0,202874880.0,91.625,0.334,7.941,0.008,0.0,0.092,28.200,2.200,0.0,418.133
14-06 14:15:50,927592448.0,2138112.0,2841006080.0,202891264.0,91.683,0.300,7.925,0.0,0.0,0.092,27.400,0.0,0.0,1254.400
14-06 14:16:50,927698944.0,2138112.0,2841018368.0,202772480.0,89.698,0.660,9.526,0.0,0.0,0.117,181.333,229.200,0.0,836.267
14-06 14:17:50,927952896.0,2138112.0,2841018368.0,202518528.0,89.139,0.318,10.410,0.008,0.0,0.125,28.900,1.100,546.133,12620.800
14-06 14:18:50,960020480.0,2138112.0,2867142656.0,144326656.0,77.393,0.401,22.106,0.0,0.0,0.100,26.700,1.500,0.0,5512.533
14-06 14:19:50,960749568.0,2138112.0,2867142656.0,143597568.0,89.111,0.343,10.429,0.008,0.0,0.109,26.0,0.0,273.067,440081.067
14-06 14:20:50,961003520.0,2138112.0,2867142656.0,143343616.0,91.013,0.268,8.677,0.0,0.0,0.042,28.200,2.200,0.0,358.400
14-06 14:21:50,961130496.0,2138112.0,2867142656.0,143216640.0,91.392,0.301,8.274,0.0,0.0,0.033,26.0,0.0,0.0,409.600
14-06 14:22:50,961257472.0,2138112.0,2867142656.0,143089664.0,91.761,0.292,7.855,0.008,0.0,0.083,26.0,0.0,0.0,1262.933
14-06 14:23:50,961384448.0,2138112.0,2867142656.0,142962688.0,91.906,0.300,7.785,0.0,0.0,0.008,27.400,0.0,0.0,358.400
14-06 14:24:50,961892352.0,2138112.0,2892918784.0,116678656.0,84.864,0.267,14.852,0.008,0.0,0.008,26.0,0.0,0.0,430165.333
14-06 14:25:50,984051712.0,2138112.0,2858328064.0,129110016.0,78.581,0.309,21.018,0.050,0.0,0.042,26.0,0.0,0.0,443758.933
14-06 14:26:50,984051712.0,2138112.0,2858328064.0,129110016.0,91.776,0.300,7.807,0.0,0.0,0.117,26.0,0.0,0.0,1809.067
14-06 14:27:50,984051712.0,2138112.0,2858328064.0,129110016.0,88.060,0.342,11.497,0.008,0.0,0.092,26.0,0.0,0.0,358.400
14-06 14:28:50,984051712.0,2138112.0,2858328064.0,129110016.0,90.746,0.293,8.927,0.008,0.0,0.025,26.0,0.0,0.0,358.400
14-06 14:29:50,984051712.0,2138112.0,2858328064.0,129110016.0,91.928,0.284,7.779,0.0,0.0,0.008,26.0,0.0,0.0,358.400
14-06 14:30:50,984051712.0,2138112.0,2858328064.0,129110016.0,90.826,0.267,8.898,0.0,0.0,0.008,28.200,2.200,0.0,793.600
14-06 14:31:50,983932928.0,2138112.0,2840821760.0,146735104.0,75.753,0.242,23.988,0.008,0.0,0.008,28.200,2.200,0.0,430190.933
14-06 14:32:50,1007767552.0,2138112.0,2841075712.0,122646528.0,78.100,0.317,21.507,0.0,0.0,0.075,26.0,0.0,0.0,441582.933
14-06 14:33:50,1007767552.0,2138112.0,2841075712.0,122646528.0,91.283,0.276,8.333,0.008,0.0,0.100,26.0,0.0,0.0,1203.200
14-06 14:34:50,1007767552.0,2138112.0,2841075712.0,122646528.0,91.283,0.317,8.267,0.008,0.0,0.125,27.400,0.0,0.0,102.400
14-06 14:35:50,1007767552.0,2138112.0,2841075712.0,122646528.0,90.053,0.292,9.538,0.0,0.0,0.117,28.200,2.200,0.0,102.400
14-06 14:36:50,1007894528.0,2138112.0,2841075712.0,122519552.0,88.712,0.300,10.863,0.008,0.0,0.117,26.0,0.0,0.0,119.467
14-06 14:37:50,1007894528.0,2138112.0,2841075712.0,122519552.0,89.143,0.318,10.447,0.008,0.0,0.084,28.200,2.200,0.0,520.533
14-06 14:38:50,1002274816.0,2138112.0,2823901184.0,145313792.0,76.401,0.276,23.256,0.008,0.0,0.059,26.0,0.0,0.0,2525.867
14-06 14:39:50,1014505472.0,2138112.0,2824151040.0,132833280.0,68.506,0.301,31.177,0.0,0.0,0.017,32.400,7.800,0.0,870195.200
14-06 14:40:50,1014632448.0,2138112.0,2824151040.0,132706304.0,90.791,0.293,8.807,0.008,0.0,0.100,28.800,0.0,0.0,2252.800
14-06 14:41:50,1014755328.0,2138112.0,2824155136.0,132579328.0,90.778,0.285,8.803,0.008,0.0,0.126,26.0,0.0,0.0,187.733
14-06 14:42:50,1014755328.0,2138112.0,2824155136.0,132579328.0,91.277,0.359,8.272,0.0,0.0,0.092,26.0,0.0,0.0,247.467
14-06 14:43:50,1014755328.0,2138112.0,2824155136.0,132579328.0,91.191,0.301,8.383,0.008,0.0,0.117,26.0,0.0,0.0,119.467
14-06 14:44:50,1014755328.0,2138112.0,2824155136.0,132579328.0,90.956,0.310,8.592,0.008,0.0,0.134,26.0,0.0,0.0,520.533
14-06 14:45:50,1016217600.0,2138112.0,2789580800.0,165691392.0,82.686,0.309,16.905,0.0,0.0,0.100,26.0,0.0,0.0,2645.333
