"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_22:06:21.csv 60",,,,"Date:","13 Jun 2019 22:06:22 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 22:06:22,480239616.0,2138112.0,2828832768.0,662417408.0,1.981,0.022,97.987,0.008,0.0,0.002,0.0,0.0,418.876,3864.845
13-06 22:07:22,982560768.0,2138112.0,2855395328.0,133533696.0,76.222,1.730,21.931,0.008,0.0,0.109,26.0,0.0,0.0,877593.600
13-06 22:08:22,984367104.0,2138112.0,2855395328.0,131727360.0,82.259,1.306,16.376,0.008,0.0,0.050,29.600,2.200,0.0,2935.467
13-06 22:09:22,989708288.0,2138112.0,2855395328.0,126386176.0,82.207,1.325,16.410,0.017,0.0,0.042,28.200,2.200,0.0,187.733
13-06 22:10:22,991682560.0,2138112.0,2855399424.0,124407808.0,82.447,1.274,16.221,0.017,0.0,0.042,26.0,0.0,0.0,384.0
13-06 22:11:22,1005010944.0,2138112.0,2812547072.0,153931776.0,66.413,0.760,32.768,0.008,0.0,0.050,28.200,2.200,0.0,6476.800
13-06 22:12:22,1002708992.0,2138112.0,2812522496.0,156258304.0,82.191,1.283,16.458,0.008,0.0,0.059,171.867,165.900,0.0,442649.600
13-06 22:13:22,1002577920.0,2138112.0,2812526592.0,156385280.0,82.217,1.324,16.408,0.008,0.0,0.042,26.0,0.0,0.0,2628.267
13-06 22:14:22,1002577920.0,2138112.0,2812526592.0,156385280.0,82.217,1.234,16.474,0.008,0.0,0.067,26.0,0.0,0.0,810.667
13-06 22:15:22,1009819648.0,2138112.0,2838298624.0,123371520.0,66.527,0.644,32.804,0.0,0.0,0.025,28.200,2.600,0.0,256.0
13-06 22:16:22,1022111744.0,2138112.0,2804604928.0,144773120.0,68.476,0.843,30.623,0.008,0.0,0.050,26.0,0.0,0.0,869981.867
13-06 22:17:22,1022103552.0,2138112.0,2804604928.0,144781312.0,82.370,1.181,16.382,0.008,0.0,0.059,26.0,0.0,0.0,1211.733
13-06 22:18:22,1022103552.0,2138112.0,2804604928.0,144781312.0,82.205,1.232,16.505,0.0,0.0,0.059,26.0,0.0,0.0,256.0
13-06 22:19:22,1021976576.0,2138112.0,2804604928.0,144908288.0,82.281,1.249,16.419,0.008,0.0,0.042,26.0,0.0,0.0,648.533
13-06 22:20:22,1023123456.0,2138112.0,2830376960.0,117989376.0,61.351,0.459,38.156,0.0,0.0,0.033,26.0,0.0,0.0,429994.667
13-06 22:21:22,1036783616.0,2138112.0,2796945408.0,137760768.0,60.185,0.467,39.306,0.008,0.0,0.033,26.0,0.0,0.0,1399.467
13-06 22:22:22,1036083200.0,2138112.0,2796945408.0,138461184.0,82.225,1.275,16.450,0.0,0.0,0.050,26.0,0.0,0.0,442043.733
13-06 22:23:22,1036865536.0,2138112.0,2796949504.0,137674752.0,82.152,1.289,16.501,0.008,0.0,0.050,26.0,0.0,0.0,332.800
13-06 22:24:22,1036865536.0,2138112.0,2796949504.0,137674752.0,82.146,1.264,16.540,0.0,0.0,0.050,26.0,0.0,0.0,819.200
13-06 22:25:22,1037123584.0,2138112.0,2822721536.0,111644672.0,69.469,0.795,29.678,0.008,0.0,0.050,28.200,2.200,0.0,273.067
13-06 22:26:22,1037438976.0,2138112.0,2822725632.0,111325184.0,50.025,0.067,49.883,0.0,0.0,0.025,36.0,10.0,0.0,432349.867
13-06 22:27:22,1047527424.0,2138112.0,2789060608.0,134901760.0,69.150,1.002,29.705,0.008,0.0,0.134,26.0,0.0,0.0,441122.133
13-06 22:28:22,1047527424.0,2138112.0,2789060608.0,134901760.0,81.900,1.325,16.658,0.017,0.0,0.101,26.0,0.0,0.0,2696.533
13-06 22:29:22,1047523328.0,2138112.0,2789064704.0,134901760.0,82.048,1.249,16.653,0.0,0.0,0.050,28.200,2.200,0.0,759.467
13-06 22:30:22,1047523328.0,2138112.0,2789064704.0,134901760.0,82.151,1.339,16.452,0.008,0.0,0.050,26.0,0.0,0.0,793.600
13-06 22:31:22,1048190976.0,2138112.0,2789068800.0,134230016.0,61.639,0.492,37.843,0.008,0.0,0.017,27.400,0.0,0.0,430122.667
13-06 22:32:22,1048899584.0,2138112.0,2789068800.0,133521408.0,49.996,0.017,49.979,0.0,0.0,0.008,28.200,2.200,0.0,3234.133
