"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_15:33:21.csv 60",,,,"Date:","13 Jun 2019 15:33:22 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 15:33:22,488558592.0,2138112.0,2763091968.0,719839232.0,1.589,0.019,98.382,0.008,0.0,0.001,0.0,0.0,420.577,2962.759
13-06 15:34:22,999587840.0,2138112.0,2789650432.0,182251520.0,81.446,1.035,17.436,0.008,0.0,0.075,28.200,2.200,0.0,445056.0
13-06 15:35:22,1001177088.0,2138112.0,2789650432.0,180662272.0,89.452,0.443,10.072,0.0,0.0,0.033,26.0,0.0,0.0,1800.533
13-06 15:36:22,1001287680.0,2138112.0,2789650432.0,180551680.0,89.016,0.485,10.448,0.008,0.0,0.042,26.0,0.0,0.0,102.400
13-06 15:37:22,1031110656.0,2138112.0,2783072256.0,157306880.0,77.168,0.604,22.178,0.0,0.0,0.050,32.400,7.800,0.0,930.133
13-06 15:38:22,1031143424.0,2138112.0,2783072256.0,157274112.0,89.376,0.484,10.081,0.0,0.0,0.058,29.600,2.200,0.0,444356.267
13-06 15:39:22,1031270400.0,2138112.0,2783072256.0,157147136.0,88.742,0.494,10.697,0.025,0.0,0.042,26.0,0.0,0.0,1902.933
13-06 15:40:22,1031270400.0,2138112.0,2783072256.0,157147136.0,88.176,0.503,11.220,0.034,0.0,0.067,26.0,0.0,0.0,102.400
13-06 15:41:22,1051291648.0,2138112.0,2726555648.0,193642496.0,68.452,0.418,31.080,0.0,0.0,0.050,26.0,0.0,0.0,441557.333
13-06 15:42:22,1054961664.0,2138112.0,2726555648.0,189972480.0,87.362,0.527,12.061,0.025,0.0,0.025,26.0,0.0,0.0,2099.200
13-06 15:43:22,1057533952.0,2138112.0,2726555648.0,187400192.0,88.012,0.546,11.392,0.008,0.0,0.042,26.0,0.0,0.0,520.533
13-06 15:44:22,1059696640.0,2138112.0,2726555648.0,185237504.0,88.345,0.502,11.119,0.0,0.0,0.033,26.0,0.0,0.0,102.400
13-06 15:45:22,1076211712.0,2138112.0,2752581632.0,142696448.0,62.164,0.309,37.477,0.008,0.0,0.042,26.0,0.0,0.0,430105.600
13-06 15:46:22,1076178944.0,2138112.0,2752581632.0,142729216.0,89.142,0.468,10.348,0.0,0.0,0.042,27.400,0.0,0.0,441326.933
13-06 15:47:22,1076178944.0,2138112.0,2752581632.0,142729216.0,88.826,0.494,10.638,0.008,0.0,0.034,26.0,0.0,0.0,1066.667
13-06 15:48:22,1076051968.0,2138112.0,2778357760.0,117080064.0,89.082,0.561,10.240,0.008,0.0,0.109,28.200,2.200,0.0,102.400
13-06 15:49:22,1085419520.0,2138112.0,2728263680.0,157806592.0,54.586,0.175,45.189,0.0,0.0,0.050,28.200,2.200,0.0,431692.800
13-06 15:50:22,1086124032.0,2138112.0,2728263680.0,157102080.0,88.438,0.459,11.028,0.008,0.0,0.067,26.0,0.0,0.0,441830.400
13-06 15:51:22,1086124032.0,2138112.0,2728263680.0,157102080.0,87.284,0.460,12.223,0.008,0.0,0.025,27.400,0.0,0.0,102.400
13-06 15:52:22,1086107648.0,2138112.0,2728263680.0,157118464.0,89.222,0.452,10.243,0.0,0.0,0.084,28.200,2.200,0.0,102.400
13-06 15:53:22,1088409600.0,2138112.0,2728263680.0,154816512.0,56.711,0.259,43.005,0.0,0.0,0.025,26.0,0.0,0.0,431488.0
