"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_17:59:37.csv 60",,,,"Date:","13 Jun 2019 17:59:38 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 17:59:38,530534400.0,167936.0,2611613696.0,811868160.0,34.540,1.412,64.002,0.014,0.0,0.032,0.0,0.0,32963.035,252108.138
13-06 18:00:38,1063501824.0,167936.0,2638176256.0,252338176.0,74.818,4.805,20.310,0.008,0.0,0.059,38.500,289.233,0.0,876151.467
13-06 18:01:38,1065009152.0,167936.0,2638176256.0,250830848.0,77.180,4.566,18.212,0.008,0.0,0.034,5.500,17.567,0.0,2065.067
13-06 18:02:38,1098698752.0,167936.0,2664300544.0,191016960.0,69.012,3.497,27.432,0.0,0.0,0.059,30.800,116.667,0.0,872482.133
13-06 18:03:38,1102831616.0,167936.0,2664300544.0,186884096.0,77.092,4.598,18.259,0.008,0.0,0.042,5.500,17.567,0.0,2645.333
13-06 18:04:38,1103085568.0,167936.0,2690076672.0,160854016.0,63.010,2.408,34.548,0.0,0.0,0.033,5.500,21.967,0.0,546.133
13-06 18:05:38,1118425088.0,167936.0,2690326528.0,145264640.0,74.577,4.673,20.683,0.0,0.0,0.067,30.300,93.300,0.0,871005.867
13-06 18:06:38,1118420992.0,167936.0,2690330624.0,145264640.0,76.464,4.791,18.703,0.008,0.0,0.034,5.500,17.567,0.0,1843.200
13-06 18:07:38,1132912640.0,167936.0,2680946688.0,140156928.0,53.933,1.910,44.123,0.0,0.0,0.033,26.400,90.533,0.0,871057.067
13-06 18:08:38,1136922624.0,167936.0,2680946688.0,136146944.0,75.782,4.755,19.438,0.008,0.0,0.017,5.500,17.567,0.0,1774.933
13-06 18:09:38,1136922624.0,167936.0,2680946688.0,136146944.0,77.051,4.601,18.305,0.0,0.0,0.042,5.500,88.533,0.0,955.733
13-06 18:10:38,1138294784.0,167936.0,2706722816.0,108998656.0,49.996,0.150,49.829,0.0,0.0,0.025,10.0,22.600,0.0,431820.800
13-06 18:11:38,1148440576.0,167936.0,2671362048.0,134213632.0,73.901,5.409,20.631,0.008,0.0,0.050,28.600,92.200,0.0,442376.533
13-06 18:12:38,1148125184.0,167936.0,2671362048.0,134529024.0,76.975,4.566,18.425,0.0,0.0,0.034,5.500,17.567,0.0,1843.200
13-06 18:13:38,1149992960.0,167936.0,2671366144.0,132657152.0,54.105,0.851,45.036,0.0,0.0,0.008,4.400,23.733,0.0,431863.467
13-06 18:14:38,1161248768.0,167936.0,2601320448.0,191447040.0,62.137,3.029,34.784,0.017,0.0,0.033,26.400,86.133,0.0,290.133
13-06 18:15:38,1162993664.0,167936.0,2601324544.0,189698048.0,77.148,4.564,18.230,0.017,0.0,0.042,5.500,17.567,0.0,441838.933
13-06 18:16:38,1162485760.0,167936.0,2601324544.0,190205952.0,66.139,2.862,30.965,0.0,0.0,0.033,5.500,21.967,0.0,307.200
13-06 18:17:38,1162739712.0,167936.0,2601324544.0,189952000.0,49.987,0.075,49.921,0.0,0.0,0.017,2.100,6.433,0.0,431709.867
13-06 18:18:38,1171030016.0,167936.0,2601578496.0,181407744.0,71.614,4.409,23.919,0.008,0.0,0.050,27.400,87.133,0.0,441070.933
