"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_17:22:32.csv 60",,,,"Date:","13 Jun 2019 17:22:32 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 17:22:32,528621568.0,167936.0,2387271680.0,1038123008.0,30.677,1.272,68.005,0.015,0.0,0.030,0.0,0.0,36180.695,236234.164
13-06 17:23:32,1059999744.0,167936.0,2414186496.0,479830016.0,72.516,4.714,22.694,0.008,0.0,0.067,44.733,191.133,6417.067,883293.867
13-06 17:24:32,1062223872.0,167936.0,2414186496.0,477605888.0,74.605,4.584,20.761,0.0,0.0,0.050,12.833,21.967,0.0,3080.533
13-06 17:25:32,1087729664.0,167936.0,2440310784.0,425975808.0,67.391,3.539,29.011,0.0,0.0,0.059,35.200,222.800,0.0,431283.200
13-06 17:26:32,1089130496.0,167936.0,2440310784.0,424574976.0,71.485,4.341,24.107,0.008,0.0,0.059,5.500,17.567,0.0,443161.600
13-06 17:27:32,1088876544.0,167936.0,2466086912.0,399052800.0,64.781,3.014,32.146,0.0,0.0,0.059,5.500,21.967,0.0,469.333
13-06 17:28:32,1108766720.0,167936.0,2466336768.0,378912768.0,67.178,3.832,28.906,0.008,0.0,0.075,26.400,86.133,0.0,869691.733
13-06 17:29:32,1109016576.0,167936.0,2466340864.0,378658816.0,75.715,4.669,19.557,0.0,0.0,0.059,11.0,20.867,0.0,2611.200
13-06 17:30:32,1127272448.0,167936.0,2492112896.0,334630912.0,58.138,1.654,40.165,0.0,0.0,0.042,26.600,73.733,0.0,430156.800
13-06 17:31:32,1135472640.0,167936.0,2492358656.0,326184960.0,74.683,5.296,19.947,0.008,0.0,0.067,13.100,44.900,0.0,441745.067
13-06 17:32:32,1135034368.0,167936.0,2518130688.0,300851200.0,74.378,4.226,21.355,0.0,0.0,0.042,7.700,28.033,0.0,2184.533
13-06 17:33:32,1147871232.0,167936.0,2518384640.0,287760384.0,53.955,1.160,44.851,0.0,0.0,0.033,26.300,153.333,0.0,431086.933
13-06 17:34:32,1147498496.0,167936.0,2518388736.0,288129024.0,76.065,4.787,19.115,0.0,0.0,0.033,5.500,17.567,0.0,441139.200
13-06 17:35:32,1148387328.0,167936.0,2518388736.0,287240192.0,68.842,3.310,27.789,0.008,0.0,0.050,8.800,35.867,0.0,1629.867
