"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_23:00:55.csv 60",,,,"Date:","13 Jun 2019 23:00:55 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 23:00:55,715558912.0,167936.0,2386030592.0,852426752.0,38.932,1.544,59.484,0.011,0.0,0.029,0.0,0.0,21184.966,233153.013
13-06 23:01:55,1266794496.0,167936.0,2412638208.0,274583552.0,81.732,2.432,15.778,0.0,0.0,0.058,42.033,282.500,614.400,447581.867
13-06 23:02:55,1300885504.0,167936.0,2438762496.0,214368256.0,80.653,2.096,17.193,0.008,0.0,0.050,39.233,123.167,0.0,444424.533
13-06 23:03:55,1329655808.0,167936.0,2464788480.0,159571968.0,76.314,1.749,21.871,0.017,0.0,0.050,29.600,97.600,0.0,7449.600
13-06 23:04:55,1329811456.0,167936.0,2464788480.0,159416320.0,84.224,2.233,13.501,0.0,0.0,0.042,3.300,11.500,0.0,437418.667
13-06 23:05:55,1343590400.0,167936.0,2429218816.0,181207040.0,73.314,2.725,23.903,0.0,0.0,0.059,25.300,88.300,0.0,872422.400
13-06 23:06:55,1360007168.0,167936.0,2455293952.0,138715136.0,70.167,1.955,27.820,0.0,0.0,0.058,28.500,162.867,0.0,2850.133
13-06 23:07:55,1365422080.0,167936.0,2455244800.0,133349376.0,80.802,2.509,16.596,0.008,0.0,0.084,2.200,8.467,0.0,441309.867
13-06 23:08:55,1381330944.0,167936.0,2395033600.0,177651712.0,64.196,1.769,33.968,0.0,0.0,0.067,36.400,111.0,0.0,431197.867
13-06 23:09:55,1381347328.0,167936.0,2395033600.0,177635328.0,80.504,2.268,17.135,0.017,0.0,0.076,1.100,5.433,0.0,443084.800
13-06 23:10:55,1385074688.0,167936.0,2395037696.0,173903872.0,62.704,1.130,36.116,0.008,0.0,0.042,17.600,57.867,0.0,431155.200
13-06 23:11:55,1395412992.0,167936.0,2395287552.0,163315712.0,81.424,2.904,15.622,0.0,0.0,0.050,20.433,49.433,0.0,442077.867
13-06 23:12:55,1395253248.0,167936.0,2395287552.0,163475456.0,61.881,0.970,37.115,0.0,0.0,0.033,5.500,21.967,0.0,431769.600
13-06 23:13:55,1413918720.0,167936.0,2395541504.0,144556032.0,80.938,2.270,16.717,0.008,0.0,0.067,27.867,82.133,0.0,441625.600
13-06 23:14:55,1427296256.0,167936.0,2395799552.0,130920448.0,60.731,0.968,38.234,0.008,0.0,0.058,31.433,170.067,0.0,431564.800
13-06 23:15:55,1430167552.0,167936.0,2395803648.0,128045056.0,84.295,2.215,13.432,0.017,0.0,0.042,4.400,14.533,0.0,441710.933
13-06 23:16:55,1447907328.0,167936.0,2366324736.0,139784192.0,56.903,1.553,41.503,0.0,0.0,0.042,28.400,92.533,0.0,872738.133
13-06 23:17:55,1448542208.0,167936.0,2366324736.0,139149312.0,83.237,2.268,14.453,0.008,0.0,0.033,6.500,22.967,0.0,1749.333
