"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_14:30:25.csv 60",,,,"Date:","13 Jun 2019 14:30:25 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 14:30:25,375078912.0,2158592.0,1488297984.0,2088648704.0,17.411,0.986,81.558,0.020,0.0,0.025,0.0,0.0,53390.665,117880.049
13-06 14:31:25,955867136.0,2158592.0,1540984832.0,1455173632.0,73.242,3.110,23.581,0.0,0.0,0.067,63.800,391.400,0.0,876919.467
13-06 14:32:25,973627392.0,2158592.0,1567010816.0,1411387392.0,74.990,2.572,22.371,0.008,0.0,0.059,28.600,96.600,0.0,444680.533
13-06 14:33:25,987566080.0,2158592.0,1593036800.0,1371422720.0,72.067,2.380,25.511,0.0,0.0,0.042,33.267,99.800,0.0,441702.400
13-06 14:34:25,989290496.0,2158592.0,1618812928.0,1343922176.0,70.182,2.142,27.642,0.0,0.0,0.033,10.167,25.167,0.0,441420.800
13-06 14:35:25,1001684992.0,2158592.0,1619062784.0,1331277824.0,72.922,2.640,24.388,0.0,0.0,0.050,34.467,179.567,0.0,441804.800
13-06 14:36:25,1016680448.0,2158592.0,1619316736.0,1316028416.0,71.462,2.444,26.027,0.008,0.0,0.059,59.0,212.267,0.0,442325.333
13-06 14:37:25,1024249856.0,2158592.0,1619570688.0,1308205056.0,63.254,1.488,35.200,0.0,0.0,0.058,39.600,103.200,0.0,436206.933
13-06 14:38:25,1023643648.0,2158592.0,1619570688.0,1308811264.0,63.599,1.558,34.801,0.0,0.0,0.042,12.233,22.967,0.0,438075.733
13-06 14:39:25,1041162240.0,2158592.0,1619824640.0,1291038720.0,72.351,2.465,25.126,0.0,0.0,0.059,35.800,88.333,0.0,871091.200
13-06 14:40:25,1057079296.0,2158592.0,1620082688.0,1274863616.0,60.359,1.128,38.463,0.008,0.0,0.042,34.833,162.933,0.0,431769.600
13-06 14:41:25,1059377152.0,2158592.0,1620094976.0,1272553472.0,67.370,1.783,30.797,0.0,0.0,0.050,21.600,30.867,0.0,872064.0
13-06 14:42:25,1071960064.0,2158592.0,1620344832.0,1259720704.0,66.689,1.758,31.486,0.0,0.0,0.067,29.933,80.067,0.0,442427.733
13-06 14:43:25,1072701440.0,2158592.0,1620344832.0,1258979328.0,59.048,1.019,39.908,0.0,0.0,0.025,11.233,21.967,0.0,433843.200
