"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_16:19:01.csv 60",,,,"Date:","13 Jun 2019 16:19:01 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 16:19:01,879919104.0,167936.0,2216988672.0,857108480.0,33.149,1.385,65.417,0.015,0.0,0.034,0.0,0.0,43128.875,255792.546
13-06 16:20:01,1469931520.0,167936.0,2269675520.0,214409216.0,82.956,1.958,15.009,0.0,0.0,0.076,67.833,350.200,0.0,888678.400
13-06 16:21:01,1496358912.0,167936.0,2321428480.0,136228864.0,84.215,1.300,14.434,0.008,0.0,0.042,34.333,100.867,0.0,6843.733
13-06 16:22:01,1508040704.0,167936.0,2286944256.0,159031296.0,71.691,1.915,26.352,0.0,0.0,0.042,33.233,163.733,0.0,876544.0
13-06 16:23:01,1541705728.0,167936.0,2287448064.0,124862464.0,75.773,1.751,22.425,0.0,0.0,0.050,56.333,173.0,0.0,441651.200
13-06 16:24:01,1552257024.0,167936.0,2227400704.0,174358528.0,71.656,2.135,26.158,0.0,0.0,0.051,32.133,90.533,0.0,441241.600
13-06 16:25:01,1577824256.0,167936.0,2227654656.0,148537344.0,72.111,1.129,26.735,0.0,0.0,0.025,33.233,164.533,0.0,871168.0
13-06 16:26:01,1591062528.0,167936.0,2227912704.0,135041024.0,68.070,1.283,30.614,0.0,0.0,0.034,44.133,91.533,0.0,441591.467
13-06 16:27:01,1597714432.0,167936.0,2227912704.0,128389120.0,68.880,0.753,30.334,0.008,0.0,0.025,35.833,67.900,0.0,441403.733
13-06 16:28:01,1277165568.0,167936.0,2170507264.0,506343424.0,70.446,1.870,27.659,0.0,0.0,0.025,21.733,47.400,0.0,871389.867
