"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_13:09:12.csv 60",,,,"Date:","11 Jun 2019 13:09:12 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 13:09:12,661774336.0,2158592.0,2485600256.0,804651008.0,5.198,1.619,93.023,0.054,0.0,0.105,0.0,0.0,156129.004,1156648.016
11-06 13:10:12,1472802816.0,2154496.0,2290053120.0,189173760.0,67.955,5.426,26.484,0.008,0.0,0.127,0.0,0.0,0.0,878617.600
11-06 13:11:12,1501655040.0,2154496.0,2316197888.0,134176768.0,65.750,5.400,28.749,0.017,0.0,0.084,0.0,0.0,341.333,874188.800
11-06 13:12:12,1687203840.0,2154496.0,2136506368.0,128319488.0,63.004,4.007,32.896,0.008,0.0,0.085,0.0,0.0,0.0,3319.467
11-06 13:13:12,1582694400.0,2154496.0,2128736256.0,240599040.0,67.749,4.844,27.340,0.017,0.0,0.051,0.0,0.0,0.0,441625.600
11-06 13:14:12,1595297792.0,2154496.0,2154827776.0,201904128.0,56.526,3.009,40.373,0.017,0.0,0.076,0.0,0.0,1911.467,431709.867
11-06 13:15:12,1595383808.0,2154496.0,2154827776.0,201818112.0,70.044,4.223,25.632,0.008,0.0,0.093,0.0,0.0,0.0,442333.867
11-06 13:16:12,1609531392.0,2154496.0,2185740288.0,156758016.0,54.753,2.697,42.457,0.008,0.0,0.084,6.700,6.700,81442.133,432691.200
11-06 13:17:12,1609437184.0,2154496.0,2185740288.0,156852224.0,70.497,4.320,25.133,0.0,0.0,0.051,0.0,0.0,0.0,442606.933
