test,used,usr,read,writ,acc,time
e1-b128,730349568.00 +/- 331764369.62,40.54 +/- 34.19,231785.92 +/- 440916.02,500990.93 +/- 405837.28,0.80 +/- 0.00,72.68 +/- 1.39
e1-b256,652720128.00 +/- 393616475.18,25.92 +/- 31.95,67850.54 +/- 67484.54,451504.15 +/- 509712.58,0.74 +/- 0.03,55.78 +/- 3.70
e1-b512,469469866.67 +/- 165637003.51,11.06 +/- 11.33,89775.41 +/- 60602.22,451600.49 +/- 617754.53,0.59 +/- 0.05,45.70 +/- 3.54
e1-b1024,471251626.67 +/- 165830687.84,11.41 +/- 11.17,89208.17 +/- 59997.85,453898.48 +/- 614541.46,0.42 +/- 0.02,42.09 +/- 2.35
e5-b128,1107625813.33 +/- 383829350.82,60.01 +/- 19.60,14608.60 +/- 37410.69,477922.70 +/- 311848.15,0.89 +/- 0.00,473.12 +/- 46.90
e5-b256,988429198.22 +/- 244690633.87,61.84 +/- 22.18,95312.37 +/- 342514.07,500503.28 +/- 284870.85,0.84 +/- 0.03,328.63 +/- 144
e5-b512,956374220.80 +/- 280173627.49,62.86 +/- 24.48,17089.48 +/- 41851.06,560193.17 +/- 287360.81,0.85 +/- 0.03,266.90 +/- 12.80
e5-b1024,1094147780.92 +/- 471830064.73,64.78 +/- 27.34,40927.31 +/- 68205.95,679226.53 +/- 359157.14,0.76 +/- 0.07,228.91 +/- 15.09
e10-b128,1209732388.57 +/- 366758016.85,61.53 +/- 12.13,9446.06 +/- 43104.79,446469.24 +/- 233473.73,0.90 +/- 0.00,1087.01 +/- 74.10
e10-b256,1223220932.92 +/- 379449241.57,65.34 +/- 13.38,16722.59 +/- 41037.74,518146.10 +/- 199348.76,0.90 +/- 0.00,751.91 +/- 28.93
e10-b512,1336833737.70 +/- 345480218.17,66.31 +/- 13.68,58564.98 +/- 299437.22,612263.27 +/- 240436.77,0.87 +/- 0.03,624.33 +/- 2.01
e10-b1024,1235967152.55 +/- 313297284.70,70.13 +/- 15.72,7110.15 +/- 23764.59,651930.91 +/- 272416.79,0.87 +/- 0.03,552.22 +/- 27.22
