"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","rafaelbraga25"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-14_12:18:35.csv 60",,,,"Date:","14 Jun 2019 12:18:36 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
14-06 12:18:36,1269133312.0,2203648.0,2181435392.0,4729249792.0,98.525,1.134,0.312,0.019,0.0,0.010,0.0,0.0,146157.066,300873.667
14-06 12:19:36,1811066880.0,2203648.0,2208026624.0,4160724992.0,98.384,1.616,0.0,0.0,0.0,0.0,19.0,0.0,0.0,449996.800
14-06 12:20:36,1832370176.0,2203648.0,2234138624.0,4113309696.0,99.250,0.717,0.017,0.0,0.0,0.017,9.0,0.0,0.0,6357.333
14-06 12:21:36,1830490112.0,2203648.0,2234130432.0,4115197952.0,99.850,0.150,0.0,0.0,0.0,0.0,19.0,0.0,0.0,445653.333
14-06 12:22:36,1864982528.0,2203648.0,2260156416.0,4054679552.0,99.416,0.584,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2517.333
14-06 12:23:36,1865142272.0,2203648.0,2260156416.0,4054519808.0,99.850,0.117,0.0,0.0,0.0,0.033,5.0,0.0,0.0,442803.200
14-06 12:24:36,1875365888.0,2203648.0,2286182400.0,4018270208.0,98.653,1.263,0.0,0.0,0.0,0.084,19.0,0.0,0.0,440797.867
14-06 12:25:36,1875746816.0,2203648.0,2286182400.0,4017889280.0,99.798,0.101,0.0,0.0,0.0,0.101,13.300,0.0,0.0,3771.733
14-06 12:26:36,1895006208.0,2203648.0,2312208384.0,3972603904.0,98.859,1.074,0.017,0.0,0.0,0.050,20.0,0.0,0.0,430259.200
14-06 12:27:36,1895718912.0,2203648.0,2312208384.0,3971891200.0,99.698,0.252,0.0,0.0,0.0,0.050,8.0,0.0,0.0,442709.333
14-06 12:28:36,1904840704.0,2203648.0,2312462336.0,3962515456.0,99.078,0.855,0.0,0.0,0.0,0.067,20.0,0.0,0.0,440499.200
14-06 12:29:36,1906921472.0,2203648.0,2312462336.0,3960434688.0,99.866,0.084,0.0,0.0,0.0,0.050,12.050,0.0,0.0,3874.133
14-06 12:30:36,1916022784.0,2203648.0,2312720384.0,3951075328.0,99.129,0.804,0.0,0.0,0.0,0.067,21.0,0.0,0.0,430310.400
14-06 12:31:36,1916153856.0,2203648.0,2312720384.0,3950944256.0,99.326,0.607,0.0,0.0,0.0,0.067,7.0,0.0,0.0,442803.200
14-06 12:32:36,1917640704.0,2203648.0,2312720384.0,3949457408.0,99.596,0.320,0.0,0.0,0.0,0.084,21.0,0.0,0.0,1254.400
14-06 12:33:36,1933721600.0,2203648.0,2312974336.0,3933122560.0,99.615,0.351,0.0,0.0,0.0,0.033,7.0,0.0,0.0,872610.133
14-06 12:34:36,1937821696.0,2203648.0,2312978432.0,3929018368.0,99.766,0.201,0.0,0.0,0.0,0.033,21.0,0.0,0.0,431564.800
14-06 12:35:36,1946431488.0,2203648.0,2313232384.0,3920154624.0,99.649,0.301,0.0,0.0,0.0,0.050,7.0,0.0,0.0,440721.067
14-06 12:36:36,1947353088.0,2203648.0,2313232384.0,3919233024.0,99.833,0.134,0.0,0.0,0.0,0.033,22.0,0.0,0.0,3891.200
14-06 12:37:36,1956159488.0,2203648.0,2313486336.0,3910172672.0,99.599,0.334,0.017,0.0,0.0,0.050,30.0,0.0,0.0,431735.467
14-06 12:38:36,1956335616.0,2203648.0,2313486336.0,3909996544.0,99.849,0.101,0.0,0.0,0.0,0.050,0.0,0.0,0.0,441813.333
