"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","rafaelbraga25"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-10_21:42:39.csv 60",,,,"Date:","10 Jun 2019 21:42:39 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
10-06 21:42:39,1166340096.0,2203648.0,3726663680.0,3286806528.0,57.221,1.193,41.574,0.006,0.0,0.005,0.0,0.0,49564.338,204535.976
10-06 21:43:39,1685364736.0,2203648.0,3753234432.0,2741211136.0,98.351,1.582,0.0,0.0,0.0,0.067,34.700,6.700,0.0,681907.200
10-06 21:44:39,1685508096.0,2203648.0,3753234432.0,2741067776.0,99.883,0.100,0.0,0.0,0.0,0.017,6.0,0.0,0.0,18645.333
10-06 21:45:39,1706274816.0,2203648.0,3779354624.0,2694180864.0,99.633,0.367,0.0,0.0,0.0,0.0,28.0,0.0,0.0,444518.400
10-06 21:46:39,1706545152.0,2203648.0,3779354624.0,2693910528.0,99.900,0.100,0.0,0.0,0.0,0.0,10.050,0.0,0.0,2508.800
10-06 21:47:39,1724915712.0,2203648.0,3805380608.0,2649513984.0,99.050,0.917,0.033,0.0,0.0,0.0,28.0,0.0,0.0,6272.0
10-06 21:48:39,1727365120.0,2203648.0,3805380608.0,2647064576.0,99.867,0.117,0.0,0.0,0.0,0.017,42.0,0.0,0.0,438536.533
10-06 21:49:39,1736998912.0,2203648.0,3831406592.0,2611404800.0,99.633,0.367,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5128.533
10-06 21:50:39,1738088448.0,2203648.0,3831410688.0,2610311168.0,99.466,0.534,0.0,0.0,0.0,0.0,32.300,0.0,0.0,438016.0
10-06 21:51:39,1740754944.0,2203648.0,3857190912.0,2581864448.0,99.883,0.117,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2474.667
10-06 21:52:39,1755525120.0,2203648.0,3857440768.0,2566844416.0,99.433,0.550,0.0,0.0,0.0,0.017,28.0,0.0,0.0,437572.267
10-06 21:53:39,1757290496.0,2203648.0,3857440768.0,2565079040.0,99.617,0.383,0.0,0.0,0.0,0.0,6.0,0.0,0.0,437444.267
10-06 21:54:39,1758171136.0,2203648.0,3857448960.0,2564190208.0,99.833,0.167,0.0,0.0,0.0,0.0,28.0,0.0,0.0,432196.267
10-06 21:55:39,1771036672.0,2203648.0,3857698816.0,2551074816.0,99.633,0.350,0.0,0.0,0.0,0.017,6.0,0.0,0.0,441804.800
10-06 21:56:39,1774682112.0,2203648.0,3857698816.0,2547429376.0,99.800,0.200,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1937.067
10-06 21:57:39,1782734848.0,2203648.0,3857969152.0,2539106304.0,99.650,0.333,0.017,0.0,0.0,0.0,6.0,0.0,0.0,432170.667
10-06 21:58:39,1783996416.0,2203648.0,3857956864.0,2537857024.0,99.683,0.317,0.0,0.0,0.0,0.0,38.750,6.700,0.0,442077.867
10-06 21:59:39,1783992320.0,2203648.0,3857960960.0,2537857024.0,99.833,0.167,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2585.600
10-06 22:00:39,1791979520.0,2203648.0,3858219008.0,2529611776.0,99.500,0.483,0.0,0.0,0.0,0.017,28.0,0.0,0.0,433177.600
10-06 22:01:39,1792929792.0,2203648.0,3858223104.0,2528657408.0,99.600,0.400,0.0,0.0,0.0,0.0,6.0,0.0,0.0,443750.400
10-06 22:02:39,1791016960.0,2203648.0,3857932288.0,2530861056.0,99.033,0.967,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2935.467
10-06 22:03:39,1790627840.0,2203648.0,3858280448.0,2530902016.0,99.332,0.652,0.0,0.0,0.0,0.017,39.0,0.0,0.0,436590.933
10-06 22:04:39,1799782400.0,2203648.0,3858501632.0,2521526272.0,99.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444782.933
10-06 22:05:39,1799651328.0,2203648.0,3858505728.0,2521653248.0,99.917,0.083,0.0,0.0,0.0,0.0,32.300,0.0,0.0,2918.400
10-06 22:06:39,1801953280.0,2203648.0,3858505728.0,2519351296.0,99.850,0.150,0.0,0.0,0.0,0.0,6.0,0.0,0.0,433092.267
10-06 22:07:39,1813512192.0,2203648.0,3858755584.0,2507542528.0,99.683,0.300,0.0,0.0,0.0,0.017,28.0,0.0,0.0,1672.533
10-06 22:08:39,1813909504.0,2203648.0,3858755584.0,2507145216.0,99.850,0.150,0.0,0.0,0.0,0.0,6.0,0.0,0.0,443323.733
10-06 22:09:39,1814028288.0,2203648.0,3858763776.0,2507018240.0,99.800,0.200,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1066.667
10-06 22:10:39,1814093824.0,2203648.0,3858767872.0,2506948608.0,99.700,0.300,0.0,0.0,0.0,0.0,10.050,0.0,0.0,432716.800
