test,used,usr,read,writ,acc,time
e1-b128,1396387840.00 +/- 287954399.91,81.12 +/- 27.56,1663370.28 +/- 3267821.75,232066.00 +/- 209849.69,0.85 +/- 0.00,151.31 +/- 2.50
e1-b256,1410988259.56 +/- 281667246.64,87.63 +/- 19.66,494897.74 +/- 1422487.52,328565.25 +/- 351593.82,0.84 +/- 0.01,123.76 +/- 1.69
e1-b512,1325944832.00 +/- 308325262.11,83.48 +/- 21.51,502753.00 +/- 1152170.12,505684.49 +/- 305148.41,0.72 +/- 0.02,109.39 +/- 1.55
e1-b1024,1337797290.67 +/- 317600648.59,84.18 +/- 21.21,393986.98 +/- 886578.81,585516.27 +/- 327735.90,0.58 +/- 0.03,99.99 +/- 0.99
e5-b128,1590257969.02 +/- 170699321.32,97.54 +/- 8.56,42576.56 +/- 265532.90,290938.20 +/- 272277.54,0.90 +/- 0.00,921.76 +/- 19.06
e5-b256,1596486960.43 +/- 181020225.44,97.32 +/- 8.95,23219.53 +/- 116982.80,332603.00 +/- 253682.62,0.90 +/- 0.00,708.97 +/- 18.91
e5-b512,1604003456.00 +/- 195971137.63,97.12 +/- 9.19,19708.79 +/- 86917.47,291075.10 +/- 202083.37,0.86 +/- 0.03,618.25 +/- 19.18
e5-b1024,1645038162.58 +/- 208325916.82,96.69 +/- 8.94,67822.07 +/- 117270.48,301815.34 +/- 260671.56,0.83 +/- 0.04,575.82 +/- 40.73
e10-b128,1761444917.89 +/- 119009738.14,98.99 +/- 4.65,14587.74 +/- 68750.05,241005.25 +/- 238045.96,0.91 +/- 0.00,2237.47 +/- 78.44
e10-b256,1758471969.93 +/- 128577059.78,98.93 +/- 4.85,4136.39 +/- 26123.47,304295.49 +/- 234321.00,0.91 +/- 0.00,1629.86 +/- 39.53
e10-b512,1763665627.43 +/- 138427520.64,98.86 +/- 4.89,4064.54 +/- 22656.43,320123.24 +/- 204950.90,0.88 +/- 0.04,1362.83 +/- 33.67
e10-b1024,1800020228.06 +/- 150744182.58,98.71 +/- 4.86,3968.48 +/- 20440.74,321691.62 +/- 219770.65,0.88 +/- 0.03,1233.04 +/- 51.43
