"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","rafaelbraga25"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_18:53:08.csv 60",,,,"Date:","13 Jun 2019 18:53:08 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 18:53:08,1079234560.0,2203648.0,3335217152.0,3765366784.0,76.806,1.517,21.641,0.023,0.0,0.013,0.0,0.0,139247.448,371404.122
13-06 18:54:08,1597480960.0,2203648.0,3361787904.0,3220549632.0,98.897,1.052,0.017,0.0,0.0,0.033,18.0,0.0,0.0,878592.0
13-06 18:55:08,1621704704.0,2203648.0,3387912192.0,3170201600.0,99.398,0.552,0.0,0.0,0.0,0.050,13.0,0.0,0.0,446361.600
13-06 18:56:08,1639256064.0,2203648.0,3413929984.0,3126632448.0,99.432,0.535,0.017,0.0,0.0,0.017,18.0,0.0,0.0,6775.467
13-06 18:57:08,1642770432.0,2203648.0,3439702016.0,3097346048.0,99.498,0.468,0.0,0.0,0.0,0.033,13.0,0.0,0.0,437956.267
13-06 18:58:08,1654689792.0,2203648.0,3439955968.0,3085172736.0,99.230,0.737,0.0,0.0,0.0,0.033,18.0,0.0,0.0,441309.867
13-06 18:59:08,1667506176.0,2203648.0,3465981952.0,3046330368.0,99.164,0.802,0.0,0.0,0.0,0.033,14.0,0.0,0.0,432085.333
13-06 19:00:08,1670500352.0,2203648.0,3465994240.0,3043323904.0,99.398,0.569,0.0,0.0,0.0,0.033,35.0,0.0,0.0,441625.600
13-06 19:01:08,1680822272.0,2203648.0,3466248192.0,3032748032.0,99.249,0.734,0.0,0.0,0.0,0.017,12.0,0.0,0.0,434210.133
13-06 19:02:08,1680617472.0,2203648.0,3466248192.0,3032952832.0,99.682,0.301,0.0,0.0,0.0,0.017,16.0,0.0,0.0,443366.400
13-06 19:03:08,1689178112.0,2203648.0,3466498048.0,3024142336.0,99.650,0.334,0.0,0.0,0.0,0.017,19.300,0.0,0.0,432529.067
13-06 19:04:08,1689993216.0,2203648.0,3466506240.0,3023319040.0,99.682,0.284,0.0,0.0,0.0,0.033,20.050,0.0,0.0,442973.867
13-06 19:05:08,1698000896.0,2203648.0,3466756096.0,3015061504.0,99.616,0.351,0.017,0.0,0.0,0.017,15.0,0.0,0.0,431914.667
13-06 19:06:08,1698443264.0,2203648.0,3466756096.0,3014619136.0,99.766,0.217,0.0,0.0,0.0,0.017,16.0,0.0,0.0,441105.067
13-06 19:07:08,1698746368.0,2203648.0,3466756096.0,3014316032.0,99.750,0.234,0.0,0.0,0.0,0.017,15.0,0.0,0.0,432162.133
13-06 19:08:08,1706946560.0,2203648.0,3467014144.0,3005857792.0,99.499,0.484,0.0,0.0,0.0,0.017,17.0,0.0,0.0,441890.133
13-06 19:09:08,1711104000.0,2203648.0,3467018240.0,3001696256.0,99.348,0.619,0.0,0.0,0.0,0.033,14.0,0.0,0.0,433305.600
13-06 19:10:08,1722920960.0,2203648.0,3467276288.0,2989621248.0,99.183,0.801,0.0,0.0,0.0,0.017,17.0,0.0,0.0,1664.0
13-06 19:11:08,1722757120.0,2203648.0,3467280384.0,2989780992.0,99.800,0.184,0.0,0.0,0.0,0.017,14.0,0.0,0.0,443016.533
13-06 19:12:08,1722789888.0,2203648.0,3467280384.0,2989748224.0,99.799,0.167,0.0,0.0,0.0,0.033,18.0,0.0,0.0,432247.467
