"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","rafaelbraga25"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-10_18:28:22.csv 60",,,,"Date:","10 Jun 2019 18:28:23 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
10-06 18:28:23,1148018688.0,2203648.0,2466058240.0,4565733376.0,42.848,1.827,55.305,0.013,0.0,0.007,0.0,0.0,104593.100,188282.974
10-06 18:29:23,1666322432.0,2203648.0,2492633088.0,4020854784.0,98.818,1.149,0.017,0.0,0.0,0.017,18.0,0.0,0.0,448452.267
10-06 18:30:23,1690501120.0,2203648.0,2518757376.0,3970551808.0,99.433,0.567,0.0,0.0,0.0,0.0,16.0,0.0,0.0,447138.133
10-06 18:31:23,1703981056.0,2203648.0,2544775168.0,3931054080.0,99.650,0.350,0.0,0.0,0.0,0.0,18.0,2.667,0.0,443690.667
10-06 18:32:23,1715142656.0,2203648.0,2570801152.0,3893866496.0,99.733,0.267,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8029.867
10-06 18:33:23,1727864832.0,2203648.0,2596831232.0,3855114240.0,99.117,0.850,0.017,0.0,0.0,0.017,39.0,0.0,0.0,439799.467
10-06 18:34:23,1729802240.0,2203648.0,2596835328.0,3853172736.0,99.533,0.467,0.0,0.0,0.0,0.0,22.750,6.700,0.0,443033.600
10-06 18:35:23,1738395648.0,2203648.0,2597089280.0,3844325376.0,99.700,0.300,0.0,0.0,0.0,0.0,16.0,0.0,0.0,441130.667
10-06 18:36:23,1739120640.0,2203648.0,2597081088.0,3843608576.0,99.700,0.283,0.0,0.0,0.0,0.017,22.300,0.0,0.0,863197.867
10-06 18:37:23,1748848640.0,2203648.0,2597335040.0,3833626624.0,99.617,0.383,0.0,0.0,0.0,0.0,16.0,0.0,0.0,443067.733
10-06 18:38:23,1757720576.0,2203648.0,2597588992.0,3824500736.0,99.717,0.283,0.0,0.0,0.0,0.0,18.0,0.0,0.0,433015.467
10-06 18:39:23,1758240768.0,2203648.0,2597593088.0,3823976448.0,99.783,0.217,0.0,0.0,0.0,0.0,16.0,0.0,0.0,442154.667
10-06 18:40:23,1767604224.0,2203648.0,2597859328.0,3814346752.0,99.233,0.733,0.017,0.0,0.0,0.017,25.600,0.0,0.0,872217.600
10-06 18:41:23,1768456192.0,2203648.0,2597863424.0,3813490688.0,99.817,0.183,0.0,0.0,0.0,0.0,16.0,0.0,0.0,435020.800
10-06 18:42:23,1777901568.0,2203648.0,2598117376.0,3803791360.0,99.600,0.400,0.0,0.0,0.0,0.0,18.0,0.0,0.0,443281.067
10-06 18:43:23,1778532352.0,2203648.0,2598121472.0,3803156480.0,99.817,0.183,0.0,0.0,0.0,0.0,16.0,0.0,0.0,433433.600
