"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-14_13:35:16.csv 60",,,,"Date:","14 Jun 2019 13:35:16 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
14-06 13:35:16,415285248.0,2138112.0,2840690688.0,715513856.0,2.576,0.027,97.387,0.008,0.0,0.002,0.0,0.0,419.456,5036.827
14-06 13:36:16,935858176.0,2138112.0,2867253248.0,168378368.0,82.869,1.001,15.905,0.117,0.0,0.108,26.0,0.0,107315.200,574557.867
14-06 13:37:16,936239104.0,2138112.0,2867253248.0,167997440.0,86.893,0.503,12.588,0.0,0.0,0.017,26.0,0.0,0.0,2176.0
14-06 13:38:16,936603648.0,2138112.0,2867253248.0,167632896.0,87.486,0.503,11.944,0.017,0.0,0.050,26.0,0.0,0.0,102.400
14-06 13:39:16,936747008.0,2138112.0,2867253248.0,167489536.0,88.262,0.578,11.126,0.008,0.0,0.025,28.200,2.200,0.0,102.400
14-06 13:40:16,936747008.0,2138112.0,2867253248.0,167489536.0,88.021,0.638,11.332,0.0,0.0,0.008,28.200,2.200,0.0,102.400
14-06 13:41:16,936742912.0,2138112.0,2867257344.0,167489536.0,87.951,0.597,11.419,0.008,0.0,0.025,26.0,0.0,0.0,546.133
14-06 13:42:16,945250304.0,2138112.0,2893029376.0,133210112.0,82.150,0.418,17.407,0.0,0.0,0.025,26.0,0.0,0.0,430148.267
14-06 13:43:16,966672384.0,2138112.0,2876092416.0,128724992.0,82.061,0.493,17.396,0.008,0.0,0.042,26.0,0.0,0.0,443110.400
14-06 13:44:16,966799360.0,2138112.0,2876092416.0,128598016.0,89.205,0.477,10.234,0.017,0.0,0.067,28.200,2.200,0.0,1774.933
14-06 13:45:16,966926336.0,2138112.0,2876092416.0,128471040.0,89.514,0.468,9.876,0.008,0.0,0.134,26.0,0.0,0.0,102.400
14-06 13:46:16,967053312.0,2138112.0,2876092416.0,128344064.0,89.607,0.475,9.751,0.0,0.0,0.167,29.600,2.200,0.0,102.400
14-06 13:47:16,967331840.0,2138112.0,2876092416.0,128065536.0,89.626,0.425,9.782,0.0,0.0,0.167,26.0,0.0,0.0,546.133
14-06 13:48:16,967430144.0,2138112.0,2876096512.0,127963136.0,89.584,0.475,9.774,0.008,0.0,0.158,26.0,0.0,0.0,110.933
