test,used,usr,read,writ,acc,time
e1-b128,896.27 +/- 221.34,70.98 +/- 25.47,41.02 +/- 216.65,175.28 +/- 669.46,0.86 +/- 0.00,540.34 +/- 12.43
e1-b256,892.56 +/- 229.25,74.52 +/- 27.94,0.08 +/- 0.29,55.09 +/- 148.66,0.84 +/- 0.01,459.94 +/- 17.17
e1-b512,894.06 +/- 239.84,75.98 +/- 30.61,0.09 +/- 0.30,120.79 +/- 307.81,0.75 +/- 0.03,409.55 +/- 8.83
e1-b1024,888.04 +/- 241.38,77.27 +/- 32.01,3.80 +/- 16.96,106.36 +/- 274.10,0.60 +/- 0.02,388.95 +/- 9.95
e5-b128,973.51 +/- 165.79,73.26 +/- 15.36,2.49 +/- 30.92,89.63 +/- 189.49,0.90 +/- 0.00,3105.42 +/- 67.78
e5-b256,972.45 +/- 166.16,79.40 +/- 16.64,1.26 +/- 13.29,99.58 +/- 183.34,0.90 +/- 0.00,2445.73 +/- 73.20
e5-b512,981.25 +/- 168.53,82.64 +/- 16.47,0.99 +/- 10.14,114.88 +/- 226.71,0.85 +/- 0.03,2197.95 +/- 38.40
e5-b1024,993.25 +/- 168.55,85.07 +/- 16.64,0.05 +/- 0.24,107.44 +/- 206.28,0.83 +/- 0.01,2044.86 +/- 28.45
e10-b128,1005.91 +/- 146.50,70.35 +/- 15.38,1.13 +/- 10.56,72.53 +/- 161.03,0.91 +/- 0.00,7296.73 +/- 68.94
e10-b256,1001.98 +/- 150.40,76.82 +/- 16.41,1.23 +/- 12.61,90.97 +/- 180.55,0.91 +/- 0.00,5492.93 +/- 96.77
e10-b512,1011.12 +/- 152.53,80.59 +/- 16.06,3.24 +/- 44.71,102.62 +/- 196.06,0.91 +/- 0.00,4828.25 +/- 38.26
e10-b1024,1082.57 +/- 159.23,83.34 +/- 15.41,10.44 +/- 103.12,113.11 +/- 213.08,0.88 +/- 0.03,4422.14 +/- 67.89
