"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-14_02:08:53.csv 60",,,,"Date:","14 Jun 2019 02:08:54 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
14-06 02:08:54,434077696.0,2138112.0,2709409792.0,828002304.0,2.348,0.025,97.617,0.008,0.0,0.002,0.0,0.0,420.708,4691.138
14-06 02:09:54,957972480.0,2138112.0,2739425280.0,274092032.0,84.415,0.809,14.551,0.125,0.0,0.100,29.067,2.200,57548.800,446045.867
14-06 02:10:54,958607360.0,2138112.0,2739425280.0,273457152.0,90.580,0.242,9.103,0.0,0.0,0.075,25.133,0.0,0.0,1356.800
14-06 02:11:54,958734336.0,2138112.0,2739425280.0,273330176.0,91.423,0.292,8.185,0.0,0.0,0.100,26.867,0.0,0.0,102.400
14-06 02:12:54,984285184.0,2138112.0,2765541376.0,221663232.0,81.169,0.367,18.380,0.0,0.0,0.084,31.533,7.800,0.0,9395.200
14-06 02:13:54,984412160.0,2138112.0,2765541376.0,221536256.0,91.454,0.301,8.179,0.0,0.0,0.067,28.200,2.200,0.0,438109.867
14-06 02:14:54,985047040.0,2138112.0,2765541376.0,220901376.0,91.322,0.301,8.294,0.008,0.0,0.075,26.867,0.0,0.0,102.400
14-06 02:15:54,1013526528.0,2138112.0,2791567360.0,166395904.0,73.975,0.292,25.674,0.0,0.0,0.058,26.533,0.0,0.0,264.533
14-06 02:16:54,1014272000.0,2138112.0,2791567360.0,165650432.0,90.794,0.327,8.795,0.0,0.0,0.084,29.600,2.200,0.0,441702.400
14-06 02:17:54,1014272000.0,2138112.0,2791567360.0,165650432.0,91.831,0.267,7.819,0.0,0.0,0.083,26.867,0.0,0.0,1365.333
14-06 02:18:54,1014607872.0,2138112.0,2817388544.0,139493376.0,91.564,0.334,8.018,0.0,0.0,0.084,25.133,0.0,0.0,102.400
14-06 02:19:54,1030000640.0,2138112.0,2783166464.0,158322688.0,66.692,0.192,33.058,0.0,0.0,0.058,26.867,0.0,0.0,433288.533
14-06 02:20:54,1030000640.0,2138112.0,2783166464.0,158322688.0,91.230,0.267,8.403,0.008,0.0,0.092,26.0,0.0,0.0,437102.933
14-06 02:21:54,1029984256.0,2138112.0,2783166464.0,158339072.0,90.745,0.337,8.817,0.008,0.0,0.093,26.0,0.0,0.0,102.400
14-06 02:22:54,1030000640.0,2138112.0,2808942592.0,132546560.0,81.128,0.310,18.496,0.0,0.0,0.067,26.0,0.0,0.0,196.267
14-06 02:23:54,1039224832.0,2138112.0,2774949888.0,157315072.0,68.708,0.351,30.883,0.0,0.0,0.058,26.0,0.0,0.0,432810.667
14-06 02:24:54,1039171584.0,2138112.0,2774949888.0,157368320.0,91.217,0.301,8.399,0.0,0.0,0.084,26.0,0.0,0.0,441190.400
14-06 02:25:54,1039171584.0,2138112.0,2774949888.0,157368320.0,91.337,0.294,8.328,0.008,0.0,0.034,26.0,0.0,0.0,102.400
14-06 02:26:54,1039552512.0,2138112.0,2774949888.0,156987392.0,76.753,0.250,22.938,0.008,0.0,0.050,28.733,2.200,0.0,247.467
14-06 02:27:54,1055903744.0,2138112.0,2775203840.0,140382208.0,66.987,0.234,32.721,0.0,0.0,0.058,28.267,0.0,0.0,431624.533
14-06 02:28:54,1055805440.0,2138112.0,2775203840.0,140480512.0,91.717,0.301,7.873,0.0,0.0,0.109,25.133,0.0,0.0,441890.133
14-06 02:29:54,1055805440.0,2138112.0,2775203840.0,140480512.0,91.788,0.259,7.845,0.008,0.0,0.100,26.867,0.0,0.0,537.600
14-06 02:30:54,1055834112.0,2138112.0,2775207936.0,140447744.0,73.713,0.200,26.029,0.0,0.0,0.058,27.333,2.200,0.0,430054.400
14-06 02:31:54,1074970624.0,2138112.0,2741665792.0,154853376.0,62.553,0.200,37.188,0.0,0.0,0.058,26.0,0.0,0.0,3208.533
14-06 02:32:54,1074909184.0,2138112.0,2741665792.0,154914816.0,91.770,0.292,7.854,0.0,0.0,0.083,26.867,0.0,0.0,440763.733
14-06 02:33:54,1074909184.0,2138112.0,2741665792.0,154914816.0,91.777,0.284,7.839,0.008,0.0,0.092,27.333,2.200,0.0,102.400
14-06 02:34:54,1075163136.0,2138112.0,2741665792.0,154660864.0,78.228,0.225,21.471,0.0,0.0,0.075,26.0,0.0,0.0,429986.133
14-06 02:35:54,1084829696.0,2138112.0,2741919744.0,144740352.0,50.480,0.125,49.370,0.0,0.0,0.025,26.0,0.0,0.0,1595.733
14-06 02:36:54,1084878848.0,2138112.0,2741919744.0,144691200.0,90.298,0.292,9.235,0.017,0.0,0.159,27.400,0.0,0.0,440755.200
14-06 02:37:54,1084862464.0,2138112.0,2741919744.0,144707584.0,91.615,0.334,7.942,0.008,0.0,0.100,26.0,0.0,0.0,1629.867
