test,used,usr,read,writ,acc,time
e1-b128,815.04 +/- 246.74,64.17 +/- 31.45,4.81 +/- 18.89,93.16 +/- 197.64,0.81 +/- 0.01,286.91 +/- 10.51
e1-b256,790.18 +/- 259.08,65.52 +/- 35.00,0.08 +/- 0.16,189.86 +/- 373.66,0.76 +/- 0.02,237.49 +/- 9.96
e1-b512,781.65 +/- 271.11,65.07 +/- 38.66,0.09 +/- 0.17,149.54 +/- 286.62,0.59 +/- 0.04,216.82 +/- 6.92
e1-b1024,793.12 +/- 277.52,66.22 +/- 39.41,0.09 +/- 0.17,185.30 +/- 348.02,0.45 +/- 0.04,206.37 +/- 6.98
e5-b128,921.83 +/- 165.62,71.40 +/- 17.54,5.96 +/- 53.74,159.31 +/- 250.50,0.89 +/- 0.00,1615.50 +/- 23.73
e5-b256,910.35 +/- 171.31,76.33 +/- 19.34,0.02 +/- 0.10,196.02 +/- 243.14,0.86 +/- 0.03,1312.76 +/- 24.48
e5-b512,928.52 +/- 175.68,78.56 +/- 20.46,2.17 +/- 15.09,180.24 +/- 216.48,0.88 +/- 0.00,1171.99 +/- 25.91
e5-b1024,934.63 +/- 179.37,80.94 +/- 20.38,0.02 +/- 0.09,177.50 +/- 271.44,0.78 +/- 0.03,1107.32 +/- 6.89
e10-b128,966.90 +/- 141.38,69.06 +/- 15.70,0.23 +/- 2.97,131.94 +/- 202.85,0.90 +/- 0.00,3827.58 +/- 70.12
e10-b256,967.19 +/- 144.51,73.99 +/- 17.54,0.02 +/- 0.13,171.20 +/- 214.91,0.90 +/- 0.00,2977.12 +/- 33.26
e10-b512,974.32 +/- 144.13,77.10 +/- 17.86,0.11 +/- 1.21,184.52 +/- 215.73,0.85 +/- 0.02,2624.30 +/- 26.38
e10-b1024,997.40 +/- 147.24,79.22 +/- 18.08,0.48 +/- 5.15,192.84 +/- 230.82,0.79 +/- 0.03,2466.91 +/- 39.48
