"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","centos02",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-15_13:24:51.csv 60",,,,"Date:","15 Jun 2019 13:24:51 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
15-06 13:24:51,513429504.0,2211840.0,1715310592.0,1723232256.0,60.041,21.475,18.162,0.242,0.0,0.079,0.0,0.0,219840.148,951123.904
15-06 13:25:51,955502592.0,2211840.0,1715404800.0,1281064960.0,68.609,23.135,8.231,0.0,0.0,0.025,7.933,21.833,1092.267,4932.267
15-06 13:26:51,985444352.0,2211840.0,1715404800.0,1251123200.0,71.453,28.395,0.135,0.0,0.0,0.017,0.0,0.0,0.0,2969.600
15-06 13:27:51,1006448640.0,2211840.0,1715404800.0,1230118912.0,71.117,28.765,0.109,0.0,0.0,0.008,0.0,0.0,0.0,1894.400
15-06 13:28:51,1024811008.0,2211840.0,1715404800.0,1211756544.0,70.151,29.041,0.773,0.0,0.0,0.034,0.0,0.0,0.0,102.400
15-06 13:29:51,1073864704.0,2211840.0,1717014528.0,1161093120.0,70.446,29.318,0.113,0.044,0.0,0.078,0.0,0.0,79394.133,22476.800
15-06 13:30:51,1088720896.0,2211840.0,1717014528.0,1146236928.0,70.668,28.984,0.252,0.0,0.0,0.096,0.0,0.0,0.0,7867.733
15-06 13:31:51,1104957440.0,2211840.0,1717014528.0,1130000384.0,70.366,29.461,0.095,0.0,0.0,0.078,0.0,0.0,0.0,375.467
15-06 13:32:51,1134632960.0,2211840.0,1717014528.0,1100324864.0,70.448,29.113,0.405,0.0,0.0,0.034,0.0,0.0,0.0,102.400
15-06 13:33:51,1151651840.0,2211840.0,1717014528.0,1083305984.0,70.422,29.330,0.222,0.0,0.0,0.026,0.0,0.0,0.0,102.400
