test,used,usr,read,writ,acc,time
e1-b128,1928.18 +/- 225.66,77.01 +/- 11.01,56.59 +/- 38.03,115.79 +/- 49.90,0.92 +/- 0.00,47.55 +/- 0.60
e1-b256,1824.56 +/- 11.33,71.68 +/- 2.70,75.33 +/- 7.62,139.76 +/- 13.80,0.89 +/- 0.00,38.07 +/- 0.23
e1-b512,1824.82 +/- 11.71,71.74 +/- 2.68,75.17 +/- 7.58,139.47 +/- 13.74,0.83 +/- 0.00,41.65 +/- 0.93
e1-b1024,1832.99 +/- 3.51,71.80 +/- 2.67,74.99 +/- 7.54,139.16 +/- 13.67,0.72 +/- 0.00,36.72 +/- 0.83
e5-b128,2206.00 +/- 230.55,92.25 +/- 12.35,18.71 +/- 34.00,38.15 +/- 61.12,0.98 +/- 0.00,207.63 +/- 6.29
e5-b256,2160.75 +/- 251.38,89.83 +/- 13.36,24.71 +/- 37.24,52.75 +/- 65.44,0.96 +/- 0.00,148.23 +/- 0.04
e5-b512,2281.31 +/- 274.15,92.13 +/- 12.02,18.40 +/- 33.43,35.86 +/- 61.08,0.94 +/- 0.00,181.44 +/- 0.29
e5-b1024,2205.81 +/- 283.04,89.66 +/- 12.95,24.33 +/- 36.67,47.36 +/- 66.49,0.91 +/- 0.00,141.62 +/- 4.75
e10-b128,2323.62 +/- 225.63,95.27 +/- 9.49,10.36 +/- 26.10,20.87 +/- 47.84,0.98 +/- 0.00,399.99 +/- 2.09
e10-b256,2314.44 +/- 247.00,94.25 +/- 10.12,12.58 +/- 28.11,25.43 +/- 51.25,0.98 +/- 0.00,289.72 +/- 3.29
e10-b512,2424.33 +/- 266.52,95.07 +/- 9.08,10.05 +/- 25.32,20.45 +/- 46.35,0.97 +/- 0.00,361.99 +/- 4.47
e10-b1024,2333.17 +/- 269.56,93.79 +/- 10.38,13.86 +/- 28.80,27.46 +/- 52.68,0.94 +/- 0.00,270.68 +/- 4.00
