"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-05.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-16_20:12:15.csv 60",,,,"Date:","16 Jun 2019 20:12:16 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
16-06 20:12:16,436613120.0,0.0,2273693696.0,1263321088.0,1.120,0.040,98.807,0.032,0.0,0.002,0.0,0.0,2040.214,14268.347
16-06 20:13:16,844492800.0,0.0,2273701888.0,855433216.0,70.301,7.379,22.312,0.0,0.0,0.008,26.867,0.0,0.0,2534.400
16-06 20:14:16,844492800.0,0.0,2273701888.0,855433216.0,87.519,12.148,0.334,0.0,0.0,0.0,27.400,0.0,0.0,938.667
16-06 20:15:16,844509184.0,0.0,2273701888.0,855416832.0,87.621,12.087,0.292,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:16:16,846000128.0,0.0,2273734656.0,853893120.0,88.262,11.580,0.158,0.0,0.0,0.0,29.600,2.200,1024.0,861.867
16-06 20:17:16,847523840.0,0.0,2273734656.0,852369408.0,87.603,11.988,0.409,0.0,0.0,0.0,26.0,0.0,0.0,520.533
16-06 20:18:16,849682432.0,0.0,2273734656.0,850210816.0,81.639,17.985,0.375,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:19:16,852729856.0,0.0,2273734656.0,847163392.0,76.240,23.101,0.659,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:20:16,890044416.0,0.0,2273734656.0,809848832.0,75.690,23.526,0.784,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:21:16,858681344.0,0.0,2273734656.0,841211904.0,85.860,12.540,1.601,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:22:16,861093888.0,0.0,2273734656.0,838799360.0,76.236,23.155,0.609,0.0,0.0,0.0,27.400,0.0,0.0,102.400
16-06 20:23:16,864157696.0,0.0,2273734656.0,835735552.0,76.221,23.253,0.517,0.0,0.0,0.008,28.200,2.200,0.0,102.400
16-06 20:24:16,867205120.0,0.0,2273734656.0,832688128.0,76.080,23.237,0.684,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:25:16,870252544.0,0.0,2273734656.0,829640704.0,76.228,23.164,0.609,0.0,0.0,0.0,28.200,2.200,0.0,102.400
16-06 20:26:16,871395328.0,0.0,2281836544.0,820396032.0,83.825,14.140,2.034,0.0,0.0,0.0,28.200,2.200,135031.467,102.400
16-06 20:27:16,875204608.0,0.0,2281988096.0,816435200.0,78.031,21.286,0.684,0.0,0.0,0.0,26.0,0.0,4164.267,102.400
16-06 20:28:16,878108672.0,0.0,2281988096.0,813531136.0,76.036,23.480,0.484,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:29:16,882167808.0,0.0,2281992192.0,809467904.0,76.263,23.128,0.609,0.0,0.0,0.0,32.400,7.800,0.0,1058.133
16-06 20:30:16,885342208.0,0.0,2281992192.0,806293504.0,76.363,23.078,0.559,0.0,0.0,0.0,26.0,0.0,0.0,793.600
16-06 20:31:16,888532992.0,0.0,2281992192.0,803102720.0,76.130,23.145,0.717,0.0,0.0,0.008,26.0,0.0,0.0,102.400
16-06 20:32:16,889802752.0,0.0,2281992192.0,801832960.0,85.337,12.754,1.909,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:33:16,892342272.0,0.0,2281992192.0,799293440.0,76.067,23.366,0.567,0.0,0.0,0.0,28.200,2.200,0.0,102.400
16-06 20:34:16,895262720.0,0.0,2281992192.0,796372992.0,76.163,23.220,0.617,0.0,0.0,0.0,27.400,0.0,0.0,102.400
16-06 20:35:16,898691072.0,0.0,2281992192.0,792944640.0,76.236,23.063,0.700,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:36:16,901722112.0,0.0,2281992192.0,789913600.0,76.101,23.341,0.559,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:37:16,904388608.0,0.0,2281992192.0,787247104.0,81.050,17.207,1.734,0.0,0.0,0.008,26.0,0.0,0.0,102.400
16-06 20:38:16,906674176.0,0.0,2281992192.0,784961536.0,80.100,18.891,1.009,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:39:16,909230080.0,0.0,2281992192.0,782405632.0,76.078,23.189,0.734,0.0,0.0,0.0,26.0,0.0,0.0,102.400
16-06 20:40:16,912531456.0,0.0,2281992192.0,779104256.0,75.890,23.435,0.675,0.0,0.0,0.0,28.200,2.200,0.0,102.400
16-06 20:41:16,915578880.0,0.0,2281992192.0,776056832.0,76.053,23.305,0.642,0.0,0.0,0.0,28.800,0.0,0.0,102.400
16-06 20:42:16,918499328.0,0.0,2281992192.0,773136384.0,76.338,22.945,0.717,0.0,0.0,0.0,28.200,2.200,0.0,102.400
