test,used,usr,read,writ,acc,time
e1-b128,820.92 +/- 132.05,72.31 +/- 26.89,47.00 +/- 213.66,76.67 +/- 381.27,0.92 +/- 0.00,494.41 +/- 2.37
e1-b256,826.26 +/- 147.46,74.76 +/- 29.94,5.35 +/- 24.36,2.45 +/- 4.68,0.89 +/- 0.00,398.73 +/- 7.17
e1-b512,844.10 +/- 142.41,79.81 +/- 28.87,1.90 +/- 8.57,2.56 +/- 5.04,0.83 +/- 0.00,483.77 +/- 8.47
e1-b1024,906.30 +/- 179.32,78.41 +/- 30.44,0.25 +/- 0.68,2.35 +/- 4.59,0.72 +/- 0.00,408.57 +/- 3.33
e5-b128,878.95 +/- 81.96,76.38 +/- 14.41,1.56 +/- 13.93,0.77 +/- 2.48,0.98 +/- 0.00,1828.31 +/- 5.85
e5-b256,869.77 +/- 97.26,76.47 +/- 17.98,0.76 +/- 3.17,2.33 +/- 8.34,0.96 +/- 0.00,1214.32 +/- 14.51
e5-b512,913.40 +/- 83.57,87.94 +/- 15.28,0.06 +/- 0.34,0.72 +/- 2.38,0.94 +/- 0.00,2008.27 +/- 11.03
e5-b1024,911.03 +/- 104.91,84.55 +/- 18.41,0.10 +/- 0.42,1.01 +/- 2.90,0.91 +/- 0.00,1300.59 +/- 11.02
e10-b128,928.84 +/- 80.47,77.29 +/- 10.67,0.03 +/- 0.26,0.55 +/- 1.85,0.98 +/- 0.00,3532.55 +/- 40.12
e10-b256,918.55 +/- 91.75,76.75 +/- 13.82,0.07 +/- 0.33,0.68 +/- 2.29,0.98 +/- 0.00,2193.84 +/- 5.87
e10-b512,958.96 +/- 79.48,89.33 +/- 11.04,0.04 +/- 0.28,0.55 +/- 1.80,0.97 +/- 0.00,3942.88 +/- 45.74
e10-b1024,949.28 +/- 95.74,85.88 +/- 13.55,0.05 +/- 0.31,0.78 +/- 2.31,0.94 +/- 0.00,2462.32 +/- 12.52
