"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-05.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-17_23:50:32.csv 60",,,,"Date:","17 Jun 2019 23:50:33 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
17-06 23:50:33,469450752.0,0.0,2308059136.0,1196118016.0,2.572,0.245,97.150,0.031,0.0,0.002,0.0,0.0,1990.800,13846.351
17-06 23:51:33,1008988160.0,0.0,2308067328.0,656572416.0,72.031,3.282,24.679,0.0,0.0,0.008,28.200,2.200,0.0,2176.0
17-06 23:52:33,1009496064.0,0.0,2308067328.0,656064512.0,94.390,3.059,2.551,0.0,0.0,0.0,26.0,0.0,0.0,938.667
17-06 23:53:33,973832192.0,0.0,2308067328.0,691728384.0,93.797,3.301,2.901,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 23:54:33,988688384.0,0.0,2308067328.0,676872192.0,94.641,2.917,2.442,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 23:55:33,991100928.0,0.0,2308067328.0,674459648.0,94.298,3.135,2.568,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 23:56:33,938405888.0,0.0,2308067328.0,727154688.0,87.689,4.968,7.344,0.0,0.0,0.0,27.400,0.0,0.0,102.400
17-06 23:57:33,941842432.0,0.0,2308067328.0,723718144.0,89.787,4.544,5.669,0.0,0.0,0.0,27.400,0.0,0.0,102.400
17-06 23:58:33,944467968.0,0.0,2308067328.0,721092608.0,88.564,4.868,6.568,0.0,0.0,0.0,28.200,2.200,0.0,102.400
17-06 23:59:33,947912704.0,0.0,2308067328.0,717647872.0,87.196,5.318,7.486,0.0,0.0,0.0,27.400,0.0,0.0,102.400
18-06 00:00:33,951848960.0,0.0,2308067328.0,713711616.0,87.229,5.068,7.703,0.0,0.0,0.0,28.200,2.200,0.0,102.400
18-06 00:01:33,955142144.0,0.0,2308067328.0,710418432.0,90.964,4.351,4.685,0.0,0.0,0.0,28.200,2.200,0.0,435.200
18-06 00:02:33,958214144.0,0.0,2308067328.0,707346432.0,87.188,5.280,7.524,0.0,0.0,0.008,26.0,0.0,0.0,9787.733
18-06 00:03:33,962023424.0,0.0,2308067328.0,703537152.0,87.013,5.118,7.869,0.0,0.0,0.0,26.0,0.0,0.0,921.600
18-06 00:04:33,965705728.0,0.0,2308067328.0,699854848.0,87.045,5.294,7.662,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:05:33,967864320.0,0.0,2308067328.0,697696256.0,91.337,4.194,4.469,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:06:33,971292672.0,0.0,2308067328.0,694267904.0,87.071,5.217,7.712,0.0,0.0,0.0,27.400,0.0,0.0,102.400
18-06 00:07:33,974958592.0,0.0,2308067328.0,690601984.0,87.518,5.116,7.366,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:08:33,978767872.0,0.0,2308067328.0,686792704.0,87.546,5.077,7.377,0.0,0.0,0.0,28.200,2.200,0.0,102.400
18-06 00:09:33,981561344.0,0.0,2308067328.0,683999232.0,91.230,4.085,4.685,0.0,0.0,0.0,32.400,7.800,0.0,273.067
18-06 00:10:33,984879104.0,0.0,2308067328.0,680681472.0,87.361,5.094,7.536,0.0,0.0,0.008,26.0,0.0,0.0,1348.267
18-06 00:11:33,988561408.0,0.0,2308067328.0,676999168.0,87.135,5.169,7.696,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:12:33,993112064.0,0.0,2308067328.0,672448512.0,87.994,5.044,6.962,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:13:33,994910208.0,0.0,2308067328.0,670650368.0,90.604,4.343,5.052,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:14:33,998084608.0,0.0,2308067328.0,667475968.0,87.436,4.960,7.603,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:15:33,1001750528.0,0.0,2308067328.0,663810048.0,87.334,5.311,7.354,0.0,0.0,0.0,28.200,2.200,0.0,102.400
18-06 00:16:33,1030955008.0,0.0,2308067328.0,634605568.0,88.762,4.719,6.519,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:17:33,1007845376.0,0.0,2308067328.0,657715200.0,89.354,4.552,6.094,0.0,0.0,0.0,28.200,2.200,0.0,102.400
18-06 00:18:33,1011417088.0,0.0,2308067328.0,654143488.0,87.621,5.127,7.244,0.0,0.0,0.008,26.0,0.0,0.0,102.400
18-06 00:19:33,1015226368.0,0.0,2308067328.0,650334208.0,87.302,4.927,7.771,0.0,0.0,0.0,28.200,2.200,0.0,102.400
18-06 00:20:33,1018527744.0,0.0,2308067328.0,647032832.0,89.079,4.969,5.952,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:21:33,1021702144.0,0.0,2308067328.0,643858432.0,88.654,4.819,6.528,0.0,0.0,0.0,26.0,0.0,0.0,102.400
