test,used,usr,read,writ,acc,time
e1-b128,792388266.67 +/- 326111896.22,52.37 +/- 22.97,749852.96 +/- 1056366.11,1891145.21 +/- 2844260.21,0.92 +/- 0.00,58.09 +/- 6.55
e1-b256,663631872.00 +/- 204241255.17,49.73 +/- 23.83,486103.65 +/- 689627.63,2127925.17 +/- 3034100.50,0.89 +/- 0.00,50.70 +/- 5.94
e1-b512,515036501.33 +/- 7373989.26,45.54 +/- 23.10,605514.59 +/- 678033.16,2649307.80 +/- 2989315.30,0.83 +/- 0.00,42.59 +/- 2.17
e1-b1024,515259050.67 +/- 7008197.75,46.82 +/- 21.09,571627.24 +/- 624219.67,2500645.11 +/- 2752818.98,0.72 +/- 0.00,34.83 +/- 0.95
e5-b128,901045725.87 +/- 201314515.93,65.77 +/- 11.98,114062.82 +/- 312963.57,477320.60 +/- 1380592.58,0.98 +/- 0.00,254.26 +/- 0.76
e5-b256,897966421.33 +/- 232073070.42,65.16 +/- 9.76,108748.74 +/- 264176.29,474420.61 +/- 1154290.74,0.96 +/- 0.00,194.27 +/- 2.77
e5-b512,929116501.33 +/- 250227855.15,67.75 +/- 9.48,104195.31 +/- 221569.29,415475.83 +/- 976523.56,0.94 +/- 0.00,201.48 +/- 9.66
e5-b1024,891762460.44 +/- 282802344.44,63.35 +/- 7.42,113840.94 +/- 221048.01,494653.26 +/- 959265.67,0.91 +/- 0.00,149.19 +/- 9.73
e10-b128,988410328.62 +/- 183504189.64,68.84 +/- 4.97,39421.31 +/- 123693.33,159410.85 +/- 536238.58,0.98 +/- 0.00,491.48 +/- 41.96
e10-b256,976245382.74 +/- 211694741.34,68.13 +/- 4.43,40922.87 +/- 113278.42,177988.63 +/- 491055.87,0.98 +/- 0.00,349.40 +/- 17.27
e10-b512,1027729966.55 +/- 212360478.68,71.28 +/- 4.90,31302.19 +/- 91401.47,136088.11 +/- 396137.77,0.97 +/- 0.00,390.90 +/- 29.25
e10-b1024,981158843.73 +/- 243672551.82,67.94 +/- 3.80,41638.11 +/- 94867.90,178596.53 +/- 411955.85,0.94 +/- 0.00,269.12 +/- 6.53
