test,used,usr,recv,send,read,writ,acc,time
e1-b128,1928176640.00 +/- 225655668.85,77.01 +/- 11.01,2.75 +/- 5.50,0.26 +/- 0.52,56588.14 +/- 38026.06,115791.13 +/- 49897.01,0.92 +/- 0.00,47.55 +/- 0.60
e1-b256,1824560469.33 +/- 11332833.59,71.68 +/- 2.70,0.00 +/- 0.00,0.00 +/- 0.00,75332.47 +/- 7615.96,139761.14 +/- 13798.96,0.89 +/- 0.00,38.07 +/- 0.23
e1-b512,1824819882.67 +/- 11706768.09,71.74 +/- 2.68,0.00 +/- 0.00,0.00 +/- 0.00,75168.31 +/- 7582.78,139467.79 +/- 13743.79,0.83 +/- 0.00,41.65 +/- 0.93
e1-b1024,1832987306.67 +/- 3505461.36,71.80 +/- 2.67,0.00 +/- 0.00,0.00 +/- 0.00,74990.82 +/- 7540.98,139155.07 +/- 13666.11,0.72 +/- 0.00,36.72 +/- 0.83
e5-b128,2205999445.33 +/- 230549892.68,92.25 +/- 12.35,15.11 +/- 14.28,0.56 +/- 1.93,18708.28 +/- 33995.67,38145.11 +/- 61122.99,0.98 +/- 0.00,207.63 +/- 6.29
e5-b256,2160746040.89 +/- 251379193.10,89.83 +/- 13.36,9.81 +/- 14.30,0.00 +/- 0.00,24706.48 +/- 37243.32,52748.33 +/- 65441.77,0.96 +/- 0.00,148.23 +/- 0.04
e5-b512,2281306453.33 +/- 274146228.33,92.13 +/- 12.02,13.67 +/- 11.46,0.00 +/- 0.00,18401.86 +/- 33434.83,35861.09 +/- 61080.43,0.94 +/- 0.00,181.44 +/- 0.29
e5-b1024,2205814328.89 +/- 283037577.93,89.66 +/- 12.95,14.22 +/- 16.36,0.74 +/- 2.23,24332.70 +/- 36674.51,47364.82 +/- 66487.76,0.91 +/- 0.00,141.62 +/- 4.75
e10-b128,2323622765.71 +/- 225634717.64,95.27 +/- 9.49,13.78 +/- 13.01,0.64 +/- 2.02,10359.98 +/- 26098.92,20872.65 +/- 47843.23,0.98 +/- 0.00,399.99 +/- 2.09
e10-b256,2314444800.00 +/- 246997814.34,94.25 +/- 10.12,12.26 +/- 15.16,0.00 +/- 0.00,12576.59 +/- 28107.98,25432.33 +/- 51253.65,0.98 +/- 0.00,289.72 +/- 3.29
e10-b512,2424329752.38 +/- 266517350.42,95.07 +/- 9.08,12.91 +/- 14.20,0.64 +/- 2.02,10054.28 +/- 25323.61,20447.49 +/- 46350.05,0.97 +/- 0.00,361.99 +/- 4.47
e10-b1024,2333165431.47 +/- 269557202.19,93.79 +/- 10.38,13.82 +/- 12.09,0.00 +/- 0.00,13862.00 +/- 28800.99,27460.63 +/- 52676.72,0.94 +/- 0.00,270.68 +/- 4.00
