"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_16:35:55.csv 60",,,,"Date:","11 Jun 2019 16:35:56 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 16:35:56,916353024.0,0.0,2168061952.0,869769216.0,45.313,2.142,52.438,0.025,0.0,0.083,0.0,0.0,63288.410,661595.562
11-06 16:36:56,1469390848.0,0.0,2194624512.0,290168832.0,87.189,1.900,10.836,0.0,0.0,0.076,0.0,0.0,0.0,446899.200
11-06 16:37:56,1512058880.0,0.0,2220748800.0,221376512.0,86.775,1.434,11.724,0.008,0.0,0.059,0.0,0.0,0.0,874137.600
11-06 16:38:56,1536368640.0,0.0,2246774784.0,171040768.0,85.134,1.351,13.465,0.0,0.0,0.050,0.0,0.0,0.0,5384.533
11-06 16:39:56,1550757888.0,0.0,2270781440.0,132644864.0,79.050,1.188,19.687,0.0,0.0,0.076,0.0,0.0,0.0,867097.600
11-06 16:40:56,1550729216.0,0.0,2270781440.0,132673536.0,89.597,1.420,8.916,0.017,0.0,0.051,0.0,0.0,0.0,440789.333
11-06 16:41:56,1566912512.0,0.0,2220244992.0,167026688.0,75.771,2.162,21.958,0.017,0.0,0.092,0.0,0.0,0.0,8038.400
11-06 16:42:56,1572986880.0,0.0,2220249088.0,160948224.0,73.557,1.117,25.267,0.0,0.0,0.059,0.0,0.0,0.0,436872.533
11-06 16:43:56,1579991040.0,0.0,2220498944.0,153694208.0,90.267,1.584,8.064,0.025,0.0,0.059,0.0,0.0,0.0,441454.933
11-06 16:44:56,1587261440.0,0.0,2220752896.0,146169856.0,70.084,1.045,28.787,0.008,0.0,0.076,0.0,0.0,0.0,431342.933
11-06 16:45:56,1586151424.0,0.0,2220752896.0,147279872.0,80.143,1.091,18.716,0.0,0.0,0.050,0.0,0.0,0.0,871372.800
11-06 16:46:56,1602592768.0,0.0,2221010944.0,130580480.0,76.255,1.207,22.445,0.008,0.0,0.084,6.700,6.700,0.0,441403.733
11-06 16:47:56,1601421312.0,0.0,2199822336.0,152940544.0,69.990,0.836,29.132,0.0,0.0,0.042,0.0,0.0,0.0,433723.733
11-06 16:48:56,1619251200.0,0.0,2200080384.0,134852608.0,86.965,1.564,11.430,0.0,0.0,0.042,6.700,6.700,0.0,440797.867
11-06 16:49:56,1629134848.0,0.0,2179891200.0,145158144.0,67.635,0.876,31.406,0.0,0.0,0.083,0.0,0.0,0.0,435464.533
11-06 16:50:56,1628844032.0,0.0,2179895296.0,145444864.0,84.993,1.239,13.743,0.0,0.0,0.025,0.0,0.0,0.0,869964.800
