"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_13:50:35.csv 60",,,,"Date:","11 Jun 2019 13:50:36 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 13:50:36,224874496.0,2138112.0,1675984896.0,2070630400.0,0.291,0.007,99.695,0.007,0.0,0.000,0.0,0.0,274.640,837.546
11-06 13:51:36,731799552.0,2138112.0,1702547456.0,1537142784.0,81.021,1.201,17.719,0.008,0.0,0.050,26.867,0.0,0.0,445960.533
11-06 13:52:36,735932416.0,2138112.0,1702547456.0,1533009920.0,87.200,0.836,11.956,0.0,0.0,0.008,28.200,2.200,0.0,2184.533
11-06 13:53:36,739753984.0,2138112.0,1702547456.0,1529188352.0,87.268,0.827,11.880,0.0,0.0,0.025,26.0,0.0,0.0,102.400
11-06 13:54:36,758595584.0,2138112.0,1728671744.0,1484222464.0,74.689,0.693,24.568,0.0,0.0,0.050,27.400,0.0,0.0,442274.133
11-06 13:55:36,758595584.0,2138112.0,1728671744.0,1484222464.0,85.744,0.929,13.243,0.008,0.0,0.075,29.600,2.200,0.0,2440.533
11-06 13:56:36,760446976.0,2138112.0,1728671744.0,1482371072.0,87.437,0.928,11.609,0.0,0.0,0.025,26.0,0.0,0.0,537.600
11-06 13:57:36,760569856.0,2138112.0,1728675840.0,1482244096.0,87.457,0.920,11.590,0.0,0.0,0.033,26.0,0.0,0.0,102.400
11-06 13:58:36,786788352.0,2138112.0,1754697728.0,1430003712.0,65.097,0.476,34.385,0.0,0.0,0.042,26.0,0.0,0.0,430080.0
11-06 13:59:36,789540864.0,2138112.0,1754697728.0,1427251200.0,86.408,0.894,12.647,0.008,0.0,0.042,32.400,7.800,0.0,442606.933
11-06 14:00:36,789360640.0,2138112.0,1754697728.0,1427431424.0,87.521,0.854,11.609,0.0,0.0,0.017,26.0,0.0,0.0,2030.933
11-06 14:01:36,789360640.0,2138112.0,1754697728.0,1427431424.0,87.500,0.904,11.571,0.0,0.0,0.025,26.0,0.0,0.0,418.133
11-06 14:02:36,790511616.0,2138112.0,1780469760.0,1400508416.0,58.198,0.225,41.560,0.0,0.0,0.017,28.800,0.0,0.0,432128.0
11-06 14:03:36,798507008.0,2138112.0,1780723712.0,1392259072.0,83.103,0.938,15.884,0.0,0.0,0.075,26.0,0.0,0.0,440746.667
11-06 14:04:36,798507008.0,2138112.0,1780723712.0,1392259072.0,86.585,0.980,12.402,0.008,0.0,0.025,26.0,0.0,0.0,1902.933
11-06 14:05:36,799084544.0,2138112.0,1780723712.0,1391681536.0,87.585,0.853,11.545,0.0,0.0,0.017,30.400,4.400,0.0,102.400
11-06 14:06:36,800993280.0,2138112.0,1806499840.0,1363996672.0,68.812,0.460,30.704,0.008,0.0,0.017,26.0,0.0,0.0,409.600
11-06 14:07:36,811282432.0,2138112.0,1806749696.0,1353457664.0,63.747,0.426,35.785,0.0,0.0,0.042,26.0,0.0,0.0,431010.133
11-06 14:08:36,811155456.0,2138112.0,1806749696.0,1353584640.0,87.548,0.862,11.565,0.0,0.0,0.025,26.0,0.0,0.0,442316.800
11-06 14:09:36,811155456.0,2138112.0,1806749696.0,1353584640.0,87.490,0.862,11.607,0.008,0.0,0.033,28.200,2.200,0.0,102.400
11-06 14:10:36,811925504.0,2138112.0,1806749696.0,1352814592.0,86.107,0.920,12.956,0.0,0.0,0.017,26.0,0.0,0.0,110.933
11-06 14:11:36,811986944.0,2138112.0,1806749696.0,1352753152.0,50.008,0.017,49.967,0.0,0.0,0.008,26.0,0.0,0.0,431573.333
11-06 14:12:36,825851904.0,2138112.0,1807003648.0,1338634240.0,74.181,0.635,25.142,0.0,0.0,0.042,26.0,0.0,0.0,440448.0
11-06 14:13:36,825851904.0,2138112.0,1807003648.0,1338634240.0,87.656,0.820,11.491,0.008,0.0,0.025,28.200,2.200,0.0,3379.200
11-06 14:14:36,825901056.0,2138112.0,1807003648.0,1338585088.0,87.669,0.811,11.486,0.0,0.0,0.033,26.0,0.0,0.0,102.400
11-06 14:15:36,824774656.0,2138112.0,1807007744.0,1339707392.0,75.284,0.643,24.056,0.0,0.0,0.017,27.400,0.0,0.0,435.200
