"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_13:33:00.csv 60",,,,"Date:","11 Jun 2019 13:33:00 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 13:33:00,1118466048.0,2154496.0,2017845248.0,815718400.0,16.253,1.936,81.655,0.051,0.0,0.105,0.0,0.0,144934.739,1044112.475
11-06 13:34:00,1653649408.0,2154496.0,2061508608.0,236871680.0,73.370,5.019,21.503,0.033,0.0,0.075,0.0,0.0,284740.267,876791.467
11-06 13:35:00,1685909504.0,2154496.0,2087632896.0,178487296.0,71.131,4.445,24.340,0.0,0.0,0.084,0.0,0.0,0.0,444270.933
11-06 13:36:00,1708507136.0,2154496.0,2113658880.0,129863680.0,68.664,3.531,27.730,0.0,0.0,0.075,0.0,0.0,0.0,441446.400
11-06 13:37:00,1721110528.0,2154496.0,2072727552.0,158191616.0,65.000,3.196,31.703,0.0,0.0,0.100,0.0,0.0,0.0,434304.0
11-06 13:38:00,1720188928.0,2154496.0,2098503680.0,133337088.0,66.719,3.095,30.128,0.017,0.0,0.042,0.0,0.0,0.0,440746.667
11-06 13:39:00,1738264576.0,2154496.0,2066325504.0,147439616.0,71.035,3.934,24.931,0.008,0.0,0.092,0.0,0.0,0.0,443494.400
11-06 13:40:00,1753911296.0,2154496.0,2066583552.0,131534848.0,59.386,1.809,38.730,0.0,0.0,0.075,0.0,0.0,0.0,432076.800
11-06 13:41:00,1752956928.0,2154496.0,2066583552.0,132489216.0,69.482,3.292,27.176,0.0,0.0,0.050,0.0,0.0,0.0,441668.267
11-06 13:42:00,1761734656.0,2154496.0,2034909184.0,155385856.0,62.716,2.516,34.693,0.0,0.0,0.075,0.0,0.0,0.0,434312.533
11-06 13:43:00,1761685504.0,2154496.0,2034913280.0,155430912.0,61.295,1.969,36.687,0.0,0.0,0.050,0.0,0.0,0.0,870510.933
11-06 13:44:00,1772478464.0,2154496.0,2035167232.0,144384000.0,68.058,3.299,28.568,0.008,0.0,0.067,13.400,13.400,0.0,441804.800
11-06 13:45:00,1772814336.0,2154496.0,2035167232.0,144048128.0,57.031,1.234,41.685,0.0,0.0,0.050,0.0,0.0,0.0,434628.267
11-06 13:46:00,1786544128.0,2154496.0,2035425280.0,130060288.0,68.787,3.414,27.749,0.0,0.0,0.050,0.0,0.0,0.0,441651.200
11-06 13:47:00,1786490880.0,2154496.0,2003517440.0,162021376.0,55.361,1.060,43.546,0.0,0.0,0.033,0.0,0.0,0.0,433553.067
11-06 13:48:00,1798463488.0,2154496.0,2003767296.0,149798912.0,67.345,3.070,29.518,0.0,0.0,0.067,0.0,0.0,0.0,441045.333
11-06 13:49:00,1799917568.0,2154496.0,2003771392.0,148340736.0,57.462,1.335,41.153,0.008,0.0,0.042,0.0,0.0,0.0,432238.933
