test,used,usr,read,writ,acc,time
e1-b128,582.18 +/- 11.46,14.22 +/- 1.28,125.73 +/- 40.94,93.63 +/- 29.65,0.57 +/- 0.06,10.27 +/- 1.18
e1-b256,581.97 +/- 11.37,14.28 +/- 1.29,125.50 +/- 40.81,93.49 +/- 29.53,0.67 +/- 0.05,10.26 +/- 0.11
e1-b512,582.22 +/- 11.31,14.34 +/- 1.30,125.27 +/- 40.66,93.37 +/- 29.45,0.57 +/- 0.04,12.55 +/- 0.19
e1-b1024,582.09 +/- 11.69,14.43 +/- 1.31,125.00 +/- 40.47,93.18 +/- 29.31,0.60 +/- 0.05,17.13 +/- 0.45
e5-b128,581.96 +/- 11.75,14.57 +/- 1.34,124.64 +/- 40.24,92.93 +/- 29.14,0.66 +/- 0.05,39.45 +/- 3.07
e5-b256,582.16 +/- 11.52,14.76 +/- 1.38,123.84 +/- 39.65,92.36 +/- 28.71,0.56 +/- 0.08,40.12 +/- 3.32
e5-b512,581.97 +/- 11.57,14.95 +/- 1.41,123.06 +/- 39.16,91.81 +/- 28.37,0.56 +/- 0.05,39.98 +/- 0.92
e5-b1024,581.62 +/- 11.28,15.15 +/- 1.44,122.30 +/- 38.67,91.25 +/- 28.02,0.57 +/- 0.08,45.41 +/- 1.37
e10-b128,696.42 +/- 125.78,30.69 +/- 16.77,60.72 +/- 70.75,46.95 +/- 50.95,0.69 +/- 0.03,76.22 +/- 5.92
e10-b256,696.49 +/- 125.46,30.63 +/- 16.36,60.02 +/- 69.83,46.47 +/- 50.27,0.54 +/- 0.09,71.92 +/- 3.17
e10-b512,694.95 +/- 125.36,30.36 +/- 15.72,59.38 +/- 68.98,45.71 +/- 49.94,0.55 +/- 0.03,72.74 +/- 3.06
e10-b1024,693.37 +/- 123.31,30.37 +/- 15.41,58.74 +/- 68.14,45.15 +/- 49.44,0.63 +/- 0.07,80.40 +/- 10.60
