test,used,usr,read,writ,acc,time
e1-b128,1353.23 +/- 2.26,68.87 +/- 1.24,78.76 +/- 2.75,176.24 +/- 8.83,0.51 +/- 0.10,15.89 +/- 0.13
e1-b256,1358.34 +/- 2.67,68.89 +/- 1.24,79.66 +/- 4.12,176.07 +/- 8.81,0.61 +/- 0.01,18.79 +/- 1.74
e1-b512,1357.51 +/- 2.80,68.92 +/- 1.24,79.57 +/- 4.12,175.87 +/- 8.80,0.56 +/- 0.03,22.13 +/- 1.91
e1-b1024,1357.40 +/- 2.44,68.96 +/- 1.23,79.46 +/- 4.10,175.63 +/- 8.77,0.64 +/- 0.05,29.04 +/- 1.59
e5-b128,1458.01 +/- 109.07,81.74 +/- 13.98,39.66 +/- 43.52,90.63 +/- 92.95,0.54 +/- 0.06,63.66 +/- 1.21
e5-b256,1468.24 +/- 121.73,81.70 +/- 13.83,39.52 +/- 43.36,89.70 +/- 93.30,0.55 +/- 0.03,65.65 +/- 3.89
e5-b512,1495.40 +/- 154.39,81.66 +/- 13.68,39.37 +/- 43.20,90.02 +/- 92.25,0.60 +/- 0.06,68.53 +/- 3.75
e5-b1024,1558.84 +/- 218.97,81.82 +/- 13.75,39.21 +/- 43.03,89.02 +/- 92.62,0.55 +/- 0.04,73.67 +/- 2.25
e10-b128,1495.23 +/- 102.40,86.17 +/- 12.60,26.03 +/- 39.10,60.25 +/- 84.47,0.73 +/- 0.08,124.22 +/- 1.80
e10-b256,1508.90 +/- 113.46,86.05 +/- 12.38,25.85 +/- 38.83,60.05 +/- 83.75,0.55 +/- 0.07,126.31 +/- 4.77
e10-b512,1508.62 +/- 117.68,85.96 +/- 12.18,25.67 +/- 38.56,60.62 +/- 82.44,0.63 +/- 0.02,129.09 +/- 4.53
e10-b1024,1524.68 +/- 139.45,86.02 +/- 12.11,25.49 +/- 38.28,61.73 +/- 80.77,0.58 +/- 0.14,135.51 +/- 4.93
