test,used,usr,read,writ,acc,time
e1-b128,611.50 +/- 21.05,1.01 +/- 0.05,1.61 +/- 0.02,10.06 +/- 0.10,0.41 +/- 0.04,40.41 +/- 0.55
e1-b256,609.74 +/- 18.77,1.01 +/- 0.05,1.61 +/- 0.02,10.06 +/- 0.10,0.55 +/- 0.03,42.98 +/- 1.25
e1-b512,610.25 +/- 19.56,1.01 +/- 0.05,1.61 +/- 0.02,10.06 +/- 0.10,0.65 +/- 0.08,50.67 +/- 0.47
e1-b1024,812.11 +/- 221.23,33.92 +/- 36.05,0.80 +/- 0.88,6.33 +/- 4.09,0.60 +/- 0.03,70.86 +/- 1.08
e5-b128,733.22 +/- 98.90,35.84 +/- 26.13,0.66 +/- 0.80,6.18 +/- 4.56,0.72 +/- 0.02,168.24 +/- 6.35
e5-b256,739.36 +/- 99.67,36.10 +/- 26.33,0.54 +/- 0.81,5.11 +/- 4.06,0.49 +/- 0.06,159.83 +/- 3.55
e5-b512,739.14 +/- 100.23,37.08 +/- 27.07,0.54 +/- 0.81,4.47 +/- 4.30,0.56 +/- 0.09,166.87 +/- 3.69
e5-b1024,810.25 +/- 150.26,46.07 +/- 27.99,0.40 +/- 0.73,3.78 +/- 4.00,0.47 +/- 0.07,182.94 +/- 1.15
e10-b128,770.37 +/- 76.06,44.81 +/- 20.16,0.27 +/- 0.62,2.22 +/- 3.70,0.66 +/- 0.03,322.71 +/- 13.31
e10-b256,777.26 +/- 79.71,45.15 +/- 20.33,0.27 +/- 0.62,2.40 +/- 3.62,0.56 +/- 0.14,311.66 +/- 11.83
e10-b512,780.61 +/- 82.79,46.60 +/- 21.04,0.27 +/- 0.62,2.30 +/- 3.72,0.53 +/- 0.07,317.05 +/- 9.72
e10-b1024,809.18 +/- 117.93,47.99 +/- 21.87,0.28 +/- 0.61,2.76 +/- 3.79,0.52 +/- 0.09,322.28 +/- 10.38
