test,used,usr,read,writ,acc,time
e1-b128,561358165.33 +/- 48054393.56,1.48 +/- 0.98,1784.72 +/- 291.99,11400.83 +/- 2131.35,0.62 +/- 0.05,24.61 +/- 0.54
e1-b256,548401152.00 +/- 37737874.66,1.48 +/- 0.98,1786.92 +/- 295.30,11400.84 +/- 2131.25,0.69 +/- 0.08,29.40 +/- 0.81
e1-b512,547052202.67 +/- 36031714.24,1.49 +/- 0.98,1787.86 +/- 294.45,11400.81 +/- 2131.33,0.53 +/- 0.09,37.66 +/- 0.88
e1-b1024,652567552.00 +/- 216000675.14,19.05 +/- 35.13,3201.23 +/- 2836.76,11838.01 +/- 1947.60,0.63 +/- 0.03,56.07 +/- 1.82
e5-b128,641097045.33 +/- 110641214.15,27.36 +/- 28.34,17027.81 +/- 26377.82,7067.07 +/- 4935.25,0.63 +/- 0.07,87.59 +/- 2.41
e5-b256,642617344.00 +/- 112377824.41,26.95 +/- 27.89,894.41 +/- 997.21,6842.23 +/- 5176.22,0.60 +/- 0.07,87.39 +/- 4.66
e5-b512,644542464.00 +/- 113417462.93,27.72 +/- 28.75,894.38 +/- 997.18,6955.88 +/- 5051.74,0.58 +/- 0.04,91.22 +/- 4.75
e5-b1024,646367914.67 +/- 115070241.26,28.74 +/- 29.85,2578.27 +/- 3793.84,6982.76 +/- 5023.14,0.68 +/- 0.05,107.57 +/- 3.14
e10-b128,684724633.60 +/- 100409113.41,38.35 +/- 25.45,536.63 +/- 875.05,4673.40 +/- 4879.15,0.65 +/- 0.05,165.97 +/- 9.39
e10-b256,677121137.78 +/- 102835358.41,35.84 +/- 25.77,596.22 +/- 906.28,4833.14 +/- 5096.99,0.59 +/- 0.01,164.31 +/- 9.40
e10-b512,679560988.44 +/- 104367613.52,37.01 +/- 26.65,998.20 +/- 1317.78,5018.80 +/- 4930.84,0.64 +/- 0.04,164.35 +/- 2.43
e10-b1024,736426170.18 +/- 150332679.32,43.61 +/- 27.71,487.77 +/- 845.64,4785.71 +/- 4651.16,0.61 +/- 0.04,181.04 +/- 6.60
