test,used,usr,read,writ,acc,time
e1-b512,463403690.67 +/- 3654596.94,1.42 +/- 0.01,420.11 +/- 0.07,2710.10 +/- 0.43,0.92 +/- 0.00,7.38 +/- 0.26
e10-b512,463212544.00 +/- 4363568.59,1.42 +/- 0.01,420.07 +/- 0.07,2710.32 +/- 0.40,0.97 +/- 0.00,44.87 +/- 1.59
e5-b512,463058261.33 +/- 4208847.45,1.42 +/- 0.01,420.10 +/- 0.07,2710.21 +/- 0.41,0.96 +/- 0.00,25.11 +/- 0.51
e1-b1024,463385941.33 +/- 3598427.11,1.42 +/- 0.01,420.11 +/- 0.07,2710.13 +/- 0.45,0.90 +/- 0.00,7.11 +/- 0.09
e10-b1024,463233024.00 +/- 4421451.29,1.42 +/- 0.01,420.06 +/- 0.07,2710.35 +/- 0.39,0.97 +/- 0.00,39.82 +/- 0.70
e5-b1024,462916266.67 +/- 4166303.20,1.42 +/- 0.01,420.09 +/- 0.07,2710.21 +/- 0.40,0.95 +/- 0.00,22.30 +/- 0.79
e5-b128,462852096.00 +/- 4372182.14,1.42 +/- 0.01,420.11 +/- 0.07,2710.13 +/- 0.44,0.97 +/- 0.00,38.49 +/- 0.69
e1-b128,467961173.33 +/- 7276665.14,1.41 +/- 0.01,414.50 +/- 9.70,2709.29 +/- 1.83,0.94 +/- 0.00,11.54 +/- 1.52
e10-b128,761080490.67 +/- 326804762.24,33.37 +/- 35.01,210.04 +/- 230.09,4040.27 +/- 1495.43,0.98 +/- 0.00,75.12 +/- 4.38
e1-b256,463136085.33 +/- 3849678.57,1.42 +/- 0.01,420.11 +/- 0.07,2710.10 +/- 0.45,0.93 +/- 0.00,8.53 +/- 0.18
e10-b256,612947968.00 +/- 299716136.90,18.48 +/- 34.12,315.06 +/- 210.04,2785.79 +/- 150.99,0.97 +/- 0.00,53.92 +/- 1.95
e5-b256,462800213.33 +/- 4348895.73,1.42 +/- 0.01,420.10 +/- 0.07,2710.19 +/- 0.43,0.97 +/- 0.00,28.63 +/- 0.44
