test,used,usr,recv,send,read,writ,acc,time
e10-b1024,559060309.3333334,17.026666666666667,0.0,0.0,64822.306000000004,215430.58466666666,0.9766,15.550815661748251
e1-b1024,559232341.3333334,16.268666666666665,0.0,0.0,65719.175,216895.51833333334,0.9253,2.844766616821289
e5-b1024,558728533.3333334,16.527333333333335,0.0,0.0,65401.20433333333,216353.64800000002,0.9669,8.918094476064047
e1-b128,558951082.6666666,16.192333333333334,0.0,0.0,65825.25233333334,217034.33566666665,0.9588666666666666,5.317426919937134
e10-b128,558985216.0,16.586333333333332,0.0,0.0,65337.411,216254.77366666668,0.9824999999999999,38.60503284136454
e5-b128,559108096.0,16.288666666666664,0.0,0.0,65690.80066666666,216847.5133333333,0.9780000000000001,19.971386671066284
e1-b256,559626922.6666666,16.223333333333333,0.0,0.0,65782.424,216964.91466666665,0.9514666666666667,3.8997212251027427
e10-b256,559084885.3333334,16.776666666666667,0.0,0.0,65104.147,215896.2616666667,0.9809666666666667,26.394134918848675
e5-b256,559357952.0,16.394000000000002,0.0,0.0,65561.51133333334,216657.1896666667,0.9782000000000001,14.043008009592691
e1-b512,559195477.3333334,16.247333333333334,0.0,0.0,65748.799,216945.664,0.9415,3.1352166334788003
e10-b512,559147690.6666666,16.914,0.0,0.0,64943.583000000006,215619.98,0.9803999999999999,19.278995672861736
e5-b512,559295146.6666666,16.467000000000002,0.0,0.0,65471.31733333334,216489.08533333332,0.9736666666666668,10.641323645909628
