test,used,usr,read,writ,acc,time
e1-b128,999045802.67 +/- 9660596.69,40.91 +/- 13.84,910525.59 +/- 137592.48,30874.72 +/- 5701.11,0.96 +/- 0.00,7.17 +/- 0.17
e1-b256,1000143530.67 +/- 9584255.19,41.35 +/- 13.71,902364.46 +/- 134933.27,30652.91 +/- 5684.34,0.95 +/- 0.00,5.74 +/- 0.04
e1-b512,1002287104.00 +/- 8191519.73,41.70 +/- 13.61,895710.62 +/- 132925.41,30451.85 +/- 5659.72,0.94 +/- 0.00,4.82 +/- 0.08
e1-b1024,1002181973.33 +/- 9561047.88,42.02 +/- 13.53,889767.92 +/- 130997.52,30383.56 +/- 5563.84,0.93 +/- 0.00,4.41 +/- 0.07
e5-b128,1002018133.33 +/- 8839533.68,42.30 +/- 13.45,884259.28 +/- 129332.08,30233.98 +/- 5494.32,0.98 +/- 0.00,30.76 +/- 0.70
e5-b256,1002201088.00 +/- 10401863.57,43.75 +/- 13.04,859149.79 +/- 122114.70,29640.84 +/- 5313.92,0.98 +/- 0.00,22.58 +/- 0.13
e5-b512,1002453674.67 +/- 11498152.94,44.79 +/- 12.77,841086.67 +/- 116875.35,29184.85 +/- 5242.15,0.97 +/- 0.00,18.50 +/- 0.03
e5-b1024,1002808661.33 +/- 11745651.44,45.62 +/- 12.55,826520.94 +/- 112744.00,28844.12 +/- 5162.86,0.97 +/- 0.00,15.52 +/- 0.25
e10-b128,1246889574.40 +/- 329585499.65,65.36 +/- 27.52,489260.47 +/- 453198.74,20296.73 +/- 11996.25,0.98 +/- 0.00,59.00 +/- 0.86
e10-b256,1013495125.33 +/- 7339339.78,48.54 +/- 11.84,777903.01 +/- 97451.98,27979.37 +/- 5522.85,0.98 +/- 0.00,43.10 +/- 0.16
e10-b512,1015323306.67 +/- 7104339.71,50.06 +/- 11.46,752512.91 +/- 90617.57,28324.08 +/- 6988.60,0.98 +/- 0.00,36.41 +/- 0.89
e10-b1024,1020054186.67 +/- 14677984.04,51.28 +/- 11.13,734737.29 +/- 85276.99,28108.78 +/- 7430.79,0.98 +/- 0.00,29.53 +/- 0.25
