test,used,usr,read,writ,acc,time
e1-b128,480.74 +/- 7.74,1.45 +/- 0.02,0.42 +/- 0.00,2.71 +/- 0.00,0.96 +/- 0.00,19.23 +/- 0.37
e1-b256,481.52 +/- 7.80,1.45 +/- 0.02,0.42 +/- 0.00,2.71 +/- 0.00,0.95 +/- 0.00,13.51 +/- 0.55
e1-b512,481.57 +/- 7.62,1.45 +/- 0.02,0.42 +/- 0.00,2.71 +/- 0.00,0.94 +/- 0.00,11.76 +/- 0.45
e1-b1024,481.37 +/- 7.91,1.45 +/- 0.02,0.42 +/- 0.00,2.71 +/- 0.00,0.93 +/- 0.00,10.78 +/- 0.62
e5-b128,780.16 +/- 327.16,33.64 +/- 35.26,0.21 +/- 0.23,4.42 +/- 1.87,0.98 +/- 0.00,71.38 +/- 2.64
e5-b256,632.07 +/- 300.66,18.44 +/- 33.98,0.31 +/- 0.21,2.86 +/- 0.29,0.98 +/- 0.00,53.26 +/- 2.49
e5-b512,481.82 +/- 7.60,1.46 +/- 0.02,0.42 +/- 0.00,2.71 +/- 0.00,0.97 +/- 0.00,46.49 +/- 1.32
e5-b1024,481.71 +/- 7.80,1.46 +/- 0.02,0.42 +/- 0.00,2.71 +/- 0.00,0.97 +/- 0.00,42.21 +/- 0.95
e10-b128,880.88 +/- 299.29,44.65 +/- 32.41,0.52 +/- 1.10,6.33 +/- 7.99,0.98 +/- 0.00,146.81 +/- 2.58
e10-b256,783.94 +/- 328.74,35.86 +/- 37.68,0.21 +/- 0.23,3.39 +/- 0.74,0.98 +/- 0.00,106.95 +/- 2.27
e10-b512,788.82 +/- 334.08,38.15 +/- 40.19,0.21 +/- 0.23,4.17 +/- 2.27,0.98 +/- 0.00,86.04 +/- 2.83
e10-b1024,796.96 +/- 342.92,39.62 +/- 41.79,0.21 +/- 0.23,3.10 +/- 0.68,0.98 +/- 0.00,75.54 +/- 2.16
