test,used,usr,read,writ,acc,time
e1-b128,467.96 +/- 7.28,1.41 +/- 0.01,0.41 +/- 0.01,2.71 +/- 0.00,0.94 +/- 0.00,11.54 +/- 1.52
e1-b256,463.14 +/- 3.85,1.42 +/- 0.01,0.42 +/- 0.00,2.71 +/- 0.00,0.93 +/- 0.00,8.53 +/- 0.18
e1-b512,463.40 +/- 3.65,1.42 +/- 0.01,0.42 +/- 0.00,2.71 +/- 0.00,0.92 +/- 0.00,7.38 +/- 0.26
e1-b1024,463.39 +/- 3.60,1.42 +/- 0.01,0.42 +/- 0.00,2.71 +/- 0.00,0.90 +/- 0.00,7.11 +/- 0.09
e5-b128,462.85 +/- 4.37,1.42 +/- 0.01,0.42 +/- 0.00,2.71 +/- 0.00,0.97 +/- 0.00,38.49 +/- 0.69
e5-b256,462.80 +/- 4.35,1.42 +/- 0.01,0.42 +/- 0.00,2.71 +/- 0.00,0.97 +/- 0.00,28.63 +/- 0.44
e5-b512,463.06 +/- 4.21,1.42 +/- 0.01,0.42 +/- 0.00,2.71 +/- 0.00,0.96 +/- 0.00,25.11 +/- 0.51
e5-b1024,462.92 +/- 4.17,1.42 +/- 0.01,0.42 +/- 0.00,2.71 +/- 0.00,0.95 +/- 0.00,22.30 +/- 0.79
e10-b128,761.08 +/- 326.80,33.37 +/- 35.01,0.21 +/- 0.23,4.04 +/- 1.50,0.98 +/- 0.00,75.12 +/- 4.38
e10-b256,612.95 +/- 299.72,18.48 +/- 34.12,0.32 +/- 0.21,2.79 +/- 0.15,0.97 +/- 0.00,53.92 +/- 1.95
e10-b512,463.21 +/- 4.36,1.42 +/- 0.01,0.42 +/- 0.00,2.71 +/- 0.00,0.97 +/- 0.00,44.87 +/- 1.59
e10-b1024,463.23 +/- 4.42,1.42 +/- 0.01,0.42 +/- 0.00,2.71 +/- 0.00,0.97 +/- 0.00,39.82 +/- 0.70
